 TIME                    	wind_r                   	ch_control               	tower_control            
 HOURS              	Unit1               	Unit2               	Unit3               
8016	20	0	0
8016.083333	24.35350038	1	1
8016.166667	29.53103658	0.855632395	1
8016.25	31.87031383	0.801142255	1
8016.333333	32.71961487	0.763316915	1
8016.416667	32.79373678	0.708625004	1
8016.5	32.49589132	0.621983832	1
8016.583333	32.06969951	0.498510146	0.919863016
8016.666667	31.74228313	0.343971405	0.742510206
8016.75	32.04006181	0.180923292	0.451919831
8016.833333	34.52243444	0.106480928	0.034027705
8016.916667	35.01452725	0.476657267	0.51487166
8017	33.89376475	0.404007547	0.34456486
8017.083333	33.77342356	0.358180617	0.262038852
8017.166667	34.0195728	0.359036553	0.254657426
8017.25	34.19642986	0.375845681	0.271998396
8017.333333	34.24424124	0.38932067	0.284855188
8017.416667	34.22997624	0.38994815	0.294457233
8017.5	34.22223438	0.389999963	0.294339862
8017.583333	34.21628229	0.390234057	0.294433546
8017.666667	34.17263979	0.390227845	0.294031651
8017.75	34.13985238	0.388350072	0.271816519
8017.833333	34.16583199	0.387188678	0.255288834
8017.916667	34.22251526	0.387102857	0.245969151
8018	34.28314469	0.38713431	0.236375386
8018.083333	34.32934288	0.38746429	0.236233444
8018.166667	34.40392868	0.387363988	0.217878929
8018.25	34.48611911	0.388202499	0.218594833
8018.333333	34.52699544	0.388755823	0.217736286
8018.416667	34.63156637	0.390419879	0.205480081
8018.5	34.69209169	0.412120663	0.22688353
8018.583333	34.68790662	0.412205321	0.226170825
8018.666667	34.70150429	0.412632076	0.226184617
8018.75	34.74550261	0.413172149	0.226243203
8018.833333	34.81095746	0.413824163	0.226456867
8018.916667	34.88729534	0.414712159	0.226728525
8019	34.94789126	0.430814785	0.236271805
8019.083333	34.97150132	0.432206305	0.244561018
8019.166667	34.99468987	0.432384518	0.24423402
8019.25	35.04364671	0.432646618	0.244243796
8019.333333	35.11876971	0.433674725	0.244331268
8019.416667	35.214803	0.434627904	0.244675499
8019.5	35.29674386	0.452817572	0.254658306
8019.583333	35.33053011	0.46935537	0.267410152
8019.666667	35.34907114	0.469863297	0.267513699
8019.75	35.38550382	0.471360596	0.277705603
8019.833333	35.42953407	0.471627409	0.277663585
8019.916667	35.49912538	0.473099074	0.277898057
8020	35.58212331	0.476504164	0.289556883
8020.083333	35.66167714	0.476985477	0.289654386
8020.166667	35.75206547	0.494466875	0.29264666
8020.25	35.80302074	0.516285211	0.317053076
8020.333333	35.81491428	0.5183006	0.3320609
8020.416667	35.83308951	0.51853362	0.332088867
8020.5	35.88991223	0.519329677	0.332485716
8020.583333	35.96817458	0.522919633	0.349572297
8020.666667	36.03666311	0.524488233	0.363043414
8020.75	36.09916116	0.525479293	0.363290152
8020.833333	36.17744095	0.544934288	0.378626722
8020.916667	36.23428102	0.565097006	0.400380238
8021	36.26270644	0.568958445	0.423809266
8021.083333	36.283075	0.570478967	0.443266588
8021.166667	36.29029954	0.572418008	0.461207338
8021.25	36.26131387	0.573763918	0.461177426
8021.333333	36.20763321	0.57443037	0.460763766
8021.416667	36.14876894	0.574362588	0.460052533
8021.5	36.09599667	0.573431322	0.436494325
8021.583333	36.08508242	0.572332294	0.410720401
8021.666667	36.11014791	0.571529262	0.388900995
8021.75	36.14788419	0.571070852	0.370869073
8021.833333	36.18457768	0.571010804	0.356513084
8021.916667	36.21503794	0.571031213	0.343768657
8022	36.24135127	0.571142018	0.343481797
8022.083333	36.24939698	0.571195732	0.326655485
8022.166667	36.25282654	0.5713815	0.314588635
8022.25	36.25634788	0.571621839	0.314451904
8022.333333	36.2777999	0.571901754	0.300282324
8022.416667	36.32457609	0.57261183	0.300591705
8022.5	36.37708611	0.574166785	0.301063061
8022.583333	36.39112789	0.576884076	0.317739764
8022.666667	36.37361562	0.577237653	0.317821016
8022.75	36.35165483	0.578571332	0.33039823
8022.833333	36.32014108	0.578951954	0.330672422
8022.916667	36.28335105	0.580600974	0.344615261
8023	36.23585426	0.580885136	0.344870969
8023.083333	36.17723096	0.582275122	0.359286966
8023.166667	36.11069207	0.582472357	0.367290959
8023.25	36.04006118	0.582651795	0.367999459
8023.333333	35.97480196	0.583264914	0.383300489
8023.416667	35.90803531	0.583513145	0.396471319
8023.5	35.82811154	0.583478763	0.396702392
8023.583333	35.76043598	0.583516761	0.410329895
8023.666667	35.69216956	0.583491273	0.419986303
8023.75	35.61270557	0.583375674	0.420815301
8023.833333	35.53947384	0.583108787	0.437470332
8023.916667	35.44102952	0.582554879	0.452563287
8024	35.29223248	0.580958048	0.452373726
8024.083333	35.11260789	0.560553918	0.45169811
8024.166667	34.94724021	0.529423872	0.420519452
