 TIME                    	wind_r                   	ch_control               	tower_control            
 HOURS              	Unit1               	Unit2               	Unit3               
8016	20	0	0
8016.083333	24.35350038	1	1
8016.166667	29.54004183	0.99753894	1
8016.25	31.8899988	1	1
8016.333333	32.7342842	1	1
8016.416667	32.79550448	1	1
8016.5	32.47622911	1	1
8016.583333	31.98108071	1	0.997736882
8016.666667	31.42129829	0.963731077	0.91395045
8016.75	30.9019428	0.888528569	0.767318249
8016.833333	30.64593448	0.783671829	0.569970746
8016.916667	30.89849039	0.688314139	0.389321313
8017	31.59103673	0.649571263	0.304590849
8017.083333	32.3455169	0.678813723	0.328117048
8017.166667	32.72464249	0.743908366	0.398061114
8017.25	32.61906409	0.79487491	0.430846366
8017.333333	32.28528192	0.798170916	0.395982681
8017.416667	32.16529018	0.785101775	0.320535922
8017.5	32.43756778	0.78976607	0.297373201
8017.583333	32.79997883	0.83731686	0.348702957
8017.666667	33.01130494	0.897964487	0.416793942
8017.75	33.04481744	0.95921349	0.485512785
8017.833333	32.9348903	1	0.535073017
8017.916667	32.77924582	1	0.559039685
8018	32.64531517	1	0.558574611
8018.083333	32.5497122	1	0.558021774
8018.166667	32.47960913	1	0.557162683
8018.25	32.42211578	1	0.529563263
8018.333333	32.39625328	0.999657939	0.497433063
8018.416667	32.41795316	0.999118601	0.465528072
8018.5	32.47410612	0.999102499	0.438079018
8018.583333	32.55723242	0.999240842	0.415268615
8018.666667	32.65511478	0.99988518	0.395678565
8018.75	32.75466342	1	0.395503471
8018.833333	32.82912922	1	0.380193838
8018.916667	32.89850372	1	0.362085486
8019	33.00665336	1	0.348802345
8019.083333	33.16022147	1	0.349180576
8019.166667	33.32153739	1	0.349841304
8019.25	33.47415348	1	0.367994153
8019.333333	33.58533286	1	0.388301652
8019.416667	33.66172546	1	0.402915412
8019.5	33.73124494	1	0.403209799
8019.583333	33.82204366	1	0.419012418
8019.666667	33.92591544	1	0.438431215
8019.75	34.01642353	1	0.45742303
8019.833333	34.09858545	1	0.476174686
8019.916667	34.18138557	1	0.495315732
8020	34.26747438	1	0.515464561
8020.083333	34.36142995	1	0.538307637
8020.166667	34.46129583	1	0.563490579
8020.25	34.56301231	1	0.591030074
8020.333333	34.66565664	1	0.621082074
8020.416667	34.75176049	1	0.653853486
8020.5	34.79044609	1	0.680854992
8020.583333	34.79378878	1	0.680908114
8020.666667	34.7950366	1	0.680814896
8020.75	34.7990096	1	0.680534739
8020.833333	34.80156208	1	0.680084764
8020.916667	34.80311895	1	0.679456127
8021	34.80401039	1	0.67865765
8021.083333	34.80426507	1	0.652431964
8021.166667	34.81459626	1	0.623305751
8021.25	34.83736993	1	0.59450309
8021.333333	34.87919909	1	0.567199098
8021.416667	34.93061479	1	0.541742855
8021.5	34.98197897	1	0.518327801
8021.583333	35.03420826	1	0.497370012
8021.666667	35.08825522	1	0.479915982
8021.75	35.1346466	1	0.479559599
8021.833333	35.16702938	1	0.463661591
8021.916667	35.18686718	1	0.44727152
8022	35.20318814	1	0.446889478
8022.083333	35.21485565	1	0.431101566
8022.166667	35.21651667	1	0.415350829
8022.25	35.22918662	1	0.414379807
8022.333333	35.28050497	1	0.41431326
8022.416667	35.35662608	1	0.414764321
8022.5	35.42701582	1	0.430119612
8022.583333	35.47074619	1	0.452316944
8022.666667	35.47493069	1	0.474169656
8022.75	35.45490504	1	0.495578968
8022.833333	35.42461833	1	0.517073432
8022.916667	35.39025495	1	0.539281558
8023	35.3541794	1	0.563068847
8023.083333	35.31593566	1	0.588627635
8023.166667	35.27640952	1	0.61615971
8023.25	35.23517048	1	0.645829184
8023.333333	35.1819936	1	0.677701204
8023.416667	35.06842524	1	0.705141758
8023.5	34.91461774	1	0.705016374
8023.583333	34.754801	1	0.704723708
8023.666667	34.59298691	1	0.70429066
8023.75	34.4318765	1	0.70358252
8023.833333	34.271072	1	0.680020176
8023.916667	34.12637013	1	0.650296414
8024	33.99513941	1	0.616425705
8024.083333	33.87849583	1	0.582181408
8024.166667	33.78381268	1	0.548156388
8024.25	33.71288635	1	0.515564479
8024.333333	33.65471182	1	0.486588779
8024.416667	33.60516402	1	0.462198307
8024.5	33.56279759	1	0.442156752
8024.583333	33.52030924	1	0.425157515
8024.666667	33.47620751	1	0.424825595
8024.75	33.40956723	1	0.410230861
8024.833333	33.34397683	1	0.395786037
8024.916667	33.29205156	1	0.395513936
8025	33.23648228	1	0.395147288
8025.083333	33.15333562	1	0.381796528
8025.166667	33.07785999	1	0.368077682
8025.25	33.0240488	1	0.367875863
8025.333333	32.9720729	1	0.36759201
8025.416667	32.91053079	1	0.367265878
8025.5	32.84230249	1	0.366246754
