 TIME                    	Wet                      	T_tower                  	T_ch                     	flow_ch                  	T_To_tower               	T_ch_r                   	T_sf                     	Td                       	Q_IT                     	PUE                      
 HOURS              	Unit1               	Unit2               	Unit3               	Unit4               	Unit5               	Unit6               	Unit7               	Unit8               	Unit9               	Unit10              
8016	16.87380264	18	18	527000	10	12	30	-10	363596.7338	1
8016.083333	-5.142756028	14.25332152	15.43765186	45000	15.124298	16.60966319	18.33694698	6.016553398	363839.6373	1.1541943
8016.166667	-5.206112639	12.94629349	14.75576121	41664.53255	14.31797312	16.82030488	19.5939999	9.937584954	364098.8194	1.150267502
8016.25	-5.271115998	11.83320263	14.02997943	41797.19244	13.49544177	16.52928203	19.88457726	11.98186694	364375.2266	1.15030521
8016.333333	-5.337085787	10.86154811	13.26064358	42179.31198	12.6669332	15.95201847	19.62838114	13.08097909	364669.84	1.150620384
8016.416667	-5.403320767	9.998792122	12.50931021	42315.7007	11.88522598	15.31565259	19.14943826	13.63806957	364983.6746	1.150646574
8016.5	-5.470293177	9.222546061	11.76569211	42008.24457	11.13978338	14.646098	18.55156415	13.92552395	365317.777	1.150158128
8016.583333	-5.537306955	8.515612547	10.9872448	39310.19011	10.43918201	14.08156611	17.91338581	14.06386816	365673.224	1.146805739
8016.666667	-5.603668031	7.868308484	10.26972887	34716.74595	9.990002822	13.76252395	17.36774337	14.05480798	366051.1194	1.136718821
8016.75	-5.66985416	7.4127294	9.722829711	28502.74377	9.987901196	13.91857374	17.07775549	13.90021227	366452.5916	1.121456608
8016.833333	-5.735171141	7.528472656	9.761519021	21427.47758	11.10192969	15.12946926	17.47401121	13.42201894	366878.7894	1.102713375
8016.916667	-5.79894647	8.020585827	10.65332326	15529.09088	13.98645684	17.59320556	18.81684535	12.64122772	367330.8782	1.085529314
8017	-5.861632413	8.471813471	13.6752006	13618.92157	18.67326824	20.81979873	21.45598897	11.50566951	367810.0354	1.077025267
8017.083333	-5.909938917	8.815689896	12.11257197	19547.00882	14.8669103	18.21397948	20.25202694	13.5623845	368317.4445	1.091363057
8017.166667	-5.944141588	8.854903669	12.29575832	21899.32884	14.62630437	17.72402722	20.13858947	13.67213433	368854.2897	1.094408424
8017.25	-5.977441773	8.69022038	12.11099308	23914.73958	14.05253849	17.14404232	19.83672726	13.84050317	369421.7488	1.097898555
8017.333333	-6.009845674	8.537499837	12.05263672	25033.61954	13.8792042	16.84908332	19.66406354	13.83708979	370020.9858	1.099015404
8017.416667	-6.041380817	8.390386367	11.91627936	25143.81385	13.73331586	16.69508111	19.52108653	13.82937492	370653.1433	1.098977726
8017.5	-6.072629291	8.249342623	11.79387612	25165.805	13.61825554	16.56897207	19.39922894	13.82086393	371319.3329	1.098819371
8017.583333	-6.103616466	8.108629528	11.77794613	25138.48642	13.70122928	16.52206024	19.33972803	13.785266	372020.6266	1.097653747
8017.666667	-6.134373503	7.963934177	11.86099706	25073.53956	13.9335762	16.59650776	19.39156067	13.70887685	372758.0459	1.09637454
8017.75	-6.165474837	7.818126838	11.88377608	25048.9014	14.05458878	16.62165226	19.41526277	13.72123404	373532.5517	1.095514153
8017.833333	-6.196953181	7.673240236	11.91410486	25032.79599	14.17925254	16.6651385	19.45975308	13.72632908	374345.032	1.094760742
8017.916667	-6.228832688	7.533497355	11.84434926	25032.75155	14.14623413	16.62441354	19.43502134	13.80229382	375196.2906	1.094533894
8018	-6.261701548	7.395755414	11.89576299	25019.26307	14.28855933	16.66465959	19.47427624	13.81410404	376087.0343	1.093590971
8018.083333	-6.291890823	7.345630744	12.04103786	25029.54196	14.51957552	16.80595064	19.60804259	13.76376678	377017.8597	1.092899553
8018.166667	-6.321450776	7.382703462	12.09950359	25069.51346	14.58368633	16.87143767	19.68461113	13.79686059	377989.2399	1.092710473
8018.25	-6.354371738	7.423844545	12.06202246	25190.80347	14.50014113	16.85189564	19.69639495	13.88672023	379001.5111	1.093042837
8018.333333	-6.38964318	7.467258322	12.0700737	25212.07902	14.4861	16.85899975	19.71357007	13.93573237	380054.8586	1.0928167
