 TIME                    	wind_r                   	ch_control               	tower_control            
 HOURS              	Unit1               	Unit2               	Unit3               
8016	20	0	0
8016.083333	24.35350038	1	1
8016.166667	29.54014097	1	1
8016.25	31.89010689	1	1
8016.333333	32.73434209	1	1
8016.416667	32.79555461	1	1
8016.5	32.47627353	1	1
8016.583333	31.98112042	1	0.997737436
8016.666667	31.43490362	1	0.913954296
8016.75	30.9094024	0.997328443	0.77145643
8016.833333	30.63673489	0.95708828	0.585822988
8016.916667	30.84124191	0.92581294	0.427784185
8017	31.41366217	0.938882621	0.367753811
8017.083333	32.05156125	1	0.397461987
8017.166667	32.37544693	1	0.475913015
8017.25	32.25561886	1	0.510410225
8017.333333	31.90597682	1	0.471192758
8017.416667	31.73979304	1	0.382967427
8017.5	31.98844675	1	0.337020991
8017.583333	32.41187362	1	0.376491397
8017.666667	32.72626494	1	0.442935743
8017.75	32.84062239	1	0.510227446
8017.833333	32.79758453	1	0.553754559
8017.916667	32.69180233	1	0.559682631
8018	32.59837766	1	0.559407431
8018.083333	32.52704596	1	0.558823998
8018.166667	32.46583833	1	0.557972821
8018.25	32.4137821	1	0.530092482
8018.333333	32.39078555	1	0.497738875
8018.416667	32.41429261	1	0.465717124
8018.5	32.47172911	1	0.438278625
8018.583333	32.55567977	1	0.415517414
8018.666667	32.65392115	1	0.395951161
8018.75	32.75353447	1	0.395770196
8018.833333	32.8279701	1	0.380330895
8018.916667	32.89754523	1	0.362140886
8019	33.00613178	1	0.348830773
8019.083333	33.16010098	1	0.349211536
8019.166667	33.32166949	1	0.349873797
8019.25	33.47442148	1	0.368068439
8019.333333	33.58561673	1	0.388406558
8019.416667	33.66194482	1	0.403032983
8019.5	33.73139478	1	0.403327444
8019.583333	33.82213675	1	0.419132612
8019.666667	33.92597386	1	0.438553239
8019.75	34.01647509	1	0.457549728
8019.833333	34.09864926	1	0.476309512
8019.916667	34.18146946	1	0.495461369
8020	34.26757787	1	0.51562274
8020.083333	34.36154984	1	0.53847963
8020.166667	34.46142905	1	0.563677261
8020.25	34.56315749	1	0.591232544
8020.333333	34.6658143	1	0.621301699
8020.416667	34.75193229	1	0.654091839
8020.5	34.7906291	1	0.681113112
8020.583333	34.79397686	1	0.681166822
8020.666667	34.79522523	1	0.681074175
8020.75	34.79919515	1	0.68079455
8020.833333	34.8017417	1	0.680345074
8020.916667	34.80329102	1	0.679716907
8021	34.80417405	1	0.678918871
8021.083333	34.80441993	1	0.652707733
8021.166667	34.81473562	1	0.623591278
8021.25	34.83747907	1	0.594791169
8021.333333	34.87924433	1	0.567483887
8021.416667	34.93059661	1	0.542017829
8021.5	34.98190795	1	0.518587053
8021.583333	35.03408309	1	0.497608495
8021.666667	35.08807946	1	0.480129442
8021.75	35.13443609	1	0.479772239
8021.833333	35.16679754	1	0.46384735
8021.916667	35.18662311	1	0.447431972
8022	35.20294541	1	0.447049357
8022.083333	35.21462265	1	0.43124043
8022.166667	35.21629882	1	0.415472217
8022.25	35.22899782	1	0.414500101
8022.333333	35.28035329	1	0.414433272
8022.416667	35.35650463	1	0.414884099
8022.5	35.426916	1	0.430231074
8022.583333	35.4706771	1	0.452425881
8022.666667	35.47489863	1	0.474283112
8022.75	35.45491587	1	0.495703071
8022.833333	35.42467378	1	0.517211515
8022.916667	35.3903462	1	0.539434992
8023	35.35429599	1	0.563238124
8023.083333	35.31606947	1	0.588813156
8023.166667	35.27655604	1	0.61636212
8023.25	35.23532802	1	0.646049424
8023.333333	35.18216443	1	0.677940475
8023.416667	35.06860855	1	0.705400671
8023.5	34.91480784	1	0.705275896
8023.583333	34.75499272	1	0.704983829
8023.666667	34.59317655	1	0.704551339
8023.75	34.43206166	1	0.703843735
8023.833333	34.27125064	1	0.680299068
8023.916667	34.12653296	1	0.650588737
8024	33.99531073	1	0.616724386
8024.083333	33.87863962	1	0.582499412
8024.166667	33.78387193	1	0.548469816
8024.25	33.7128314	1	0.515859284
8024.333333	33.65457645	1	0.486858088
8024.416667	33.60496349	1	0.462432461
8024.5	33.56253285	1	0.44235374
8024.583333	33.52000903	1	0.425320357
8024.666667	33.47590116	1	0.411361283
8024.75	33.4312534	1	0.411103502
8024.833333	33.36349998	1	0.410733268
8024.916667	33.27211403	1	0.395634206
8025	33.19827601	1	0.380400625
8025.083333	33.14436458	1	0.38014641
8025.166667	33.09083031	1	0.379804371
8025.25	33.02490687	1	0.379404225
8025.333333	32.95129697	1	0.365973568
8025.416667	32.89069232	1	0.365648585
8025.5	32.83669159	1	0.365292872
8025.583333	32.78813453	1	0.352750103
8025.666667	32.78580981	1	0.35297695
8025.75	32.82291504	1	0.353628755
