 TIME                    	Wet                      	T_tower                  	T_ch                     	flow_ch                  	T_To_tower               	T_ch_r                   	T_sf                     	Td                       	Q_IT                     	PUE                      
 HOURS              	Unit1               	Unit2               	Unit3               	Unit4               	Unit5               	Unit6               	Unit7               	Unit8               	Unit9               	Unit10              
8019.5	-6.631663789	7.802541843	12.15859339	45000	12.69265991	14.95303001	19.15002523	14.58136955	398747.0695	1.114946579
8019.583333	-6.618165646	7.89374167	12.19506282	45000	12.67114405	15.01550045	19.22132581	14.60081093	400297.4782	1.115175378
8019.666667	-6.604483316	7.990777577	12.19197723	45000	12.59453215	15.030787	19.25670909	14.66926477	401861.7731	1.11555281
8019.75	-6.591327392	8.091560257	12.18956584	45000	12.52160938	15.04047679	19.28461868	14.73185641	403436.0419	1.115911438
8019.833333	-6.57965998	8.19441372	12.19333877	45000	12.45864527	15.05060468	19.31100705	14.7876422	405016.1252	1.116255481
8019.916667	-6.570414689	8.29844408	12.20334693	45000	12.40393537	15.06789553	19.3431071	14.83836236	406597.6303	1.116612227
8020	-6.564371226	8.403963167	12.23006796	45000	12.36658351	15.10312947	19.38985087	14.87772701	408175.9484	1.117008835
8020.083333	-6.581328166	8.511272161	12.2538023	45000	12.32145404	15.13722365	19.43754999	14.92399984	409746.273	1.117515621
8020.166667	-6.618540342	8.619888511	12.27761461	45000	12.27362985	15.17198665	19.48710599	14.97432306	411303.6221	1.118120429
8020.25	-6.656731149	8.729526695	12.30296077	45000	12.22550688	15.20730308	19.53750995	15.02564754	412842.863	1.118824005
8020.333333	-6.695462033	8.840066576	12.33038257	45000	12.1781368	15.24358232	19.58887586	15.07693844	414358.7389	1.119633158
8020.416667	-6.734283327	8.844559642	12.27463158	45000	12.0452519	15.20380298	19.57752627	15.17440602	415845.8984	1.120558143
8020.5	-6.773431396	8.754279576	12.14626743	45000	11.85579034	15.0992417	19.50503673	15.28559237	417298.9268	1.121257961
8020.583333	-6.812459717	8.670528482	12.05769251	45000	11.7671804	15.01559862	19.44072774	15.35324912	418712.3794	1.120866638
8020.666667	-6.850924407	8.590618578	11.98224211	45000	11.69081745	14.96031378	19.39800198	15.39722325	420080.8163	1.120479988
8020.75	-6.889060736	8.514989352	11.91620849	45000	11.62402788	14.90324378	19.35451551	15.44467964	421398.8387	1.120100986
8020.833333	-6.926424108	8.442893846	11.85340969	45000	11.56099411	14.84844747	19.3124638	15.4892779	422661.1255	1.119732082
8020.916667	-6.962588742	8.374052914	11.7936988	45000	11.50150449	14.79617893	19.2721517	15.53113932	423862.4716	1.119374898
8021	-6.997765429	8.308247264	11.73696037	45000	11.44541728	14.74641879	19.23364044	15.57053362	424997.825	1.119030972
8021.083333	-7.02398042	8.24089042	11.7068081	45000	11.47406033	14.70986124	19.20520301	15.59921692	426062.325	1.117683292
8021.166667	-7.041559231	8.16971749	11.7090227	45000	11.5442274	14.70679306	19.20505989	15.60967574	427051.339	1.116242779
8021.25	-7.058390359	8.096880737	11.72372339	45000	11.63098646	14.72369383	19.22321139	15.61426768	427960.4983	1.114839148
8021.333333	-7.07446045	8.022608535	11.74220698	45000	11.72299375	14.74195125	19.24498394	15.63426039	428785.7329	1.113521997
8021.416667	-7.089774886	7.946878884	11.76270437	45000	11.81703853	14.76734212	19.27817885	15.65241776	429523.3042	1.112306016
8021.5	-7.104606355	7.869913619	11.78734857	45000	11.91410458	14.79342909	19.31002626	15.67188169	430169.835	1.111198778
8021.583333	-7.118956896	7.79260167	11.82238229	45000	12.01881871	14.83294573	19.35247136	15.68161174	430722.3378	1.110216234
8021.666667	-7.132838768	7.715849077	11.85165729	45000	12.11014699	14.86993021	19.39341	15.69466947	431178.2397	1.109398907
8021.75	-7.146508595	7.643613054	11.83951062	45000	12.10318458	14.86990092	19.40393045	15.73050564	431535.4034	1.109290641
8021.833333	-7.159976985	7.573778977	11.83434465	45000	12.15511949	14.86351029	19.40632449	15.76047305	431792.1462	1.108593345
