3238	3700	3861	!Air flow rate (l/s)							3238	3700	3861				
15.56	21.11	23.89	26.67	!Return air dry bulb temperature (C)												
-19.44	-16.67	-13.89	-11.11	-8.33	-5.56	-2.78	0	2.78	5.56	8.33	11.11	13.89	16.67	19.44	22.22	!Outdoor dry bulb temperature (C) 
70339	154777		!Capacity (kJ/h) and power (kJ/h) at 3238 (l/s), 15.56 [C], and -19.44 [C]													
82349	140090		!Capacity (kJ/h) and power (kJ/h) at 3238 (l/s), 15.56 [C], and -16.67 [C]													
94696	128693		!Capacity (kJ/h) and power (kJ/h) at 3238 (l/s), 15.56 [C], and -13.89 [C]													
106694	120313		!Capacity (kJ/h) and power (kJ/h) at 3238 (l/s), 15.56 [C], and -11.11 [C]													
118721	113598		!Capacity (kJ/h) and power (kJ/h) at 3238 (l/s), 15.56 [C], and -8.33 [C]													
132786	104626		!Capacity (kJ/h) and power (kJ/h) at 3238 (l/s), 15.56 [C], and -5.56 [C]													
148910	96028		!Capacity (kJ/h) and power (kJ/h) at 3238 (l/s), 15.56 [C], and -2.78 [C]													
164005	90666		!Capacity (kJ/h) and power (kJ/h) at 3238 (l/s), 15.56 [C], and 0 [C]													
179100	85295		!Capacity (kJ/h) and power (kJ/h) at 3238 (l/s), 15.56 [C], and 2.78 [C]													
194195	80757		!Capacity (kJ/h) and power (kJ/h) at 3238 (l/s), 15.56 [C], and 5.56 [C]													
182878	75970		!Capacity (kJ/h) and power (kJ/h) at 3238 (l/s), 15.56 [C], and 8.33 [C]													
194195	71957		!Capacity (kJ/h) and power (kJ/h) at 3238 (l/s), 15.56 [C], and 11.11 [C]													
205180	68507		!Capacity (kJ/h) and power (kJ/h) at 3238 (l/s), 15.56 [C], and 13.89 [C]													
216148	65401		!Capacity (kJ/h) and power (kJ/h) at 3238 (l/s), 15.56 [C], and 16.67 [C]													
227137	62602		!Capacity (kJ/h) and power (kJ/h) at 3238 (l/s), 15.56 [C], and 19.44 [C]													
238437	59972		!Capacity (kJ/h) and power (kJ/h) at 3238 (l/s), 15.56 [C], and 22.22 [C]													
68284	166602		!Capacity (kJ/h) and power (kJ/h) at 3238 (l/s), 21.11 [C], and -19.44 [C]													
79601	151083		!Capacity (kJ/h) and power (kJ/h) at 3238 (l/s), 21.11 [C], and -16.67 [C]													
91611	138367		!Capacity (kJ/h) and power (kJ/h) at 3238 (l/s), 21.11 [C], and -13.89 [C]													
102584	130689		!Capacity (kJ/h) and power (kJ/h) at 3238 (l/s), 21.11 [C], and -11.11 [C]													
114594	122662		!Capacity (kJ/h) and power (kJ/h) at 3238 (l/s), 21.11 [C], and -8.33 [C]													
128663	113678		!Capacity (kJ/h) and power (kJ/h) at 3238 (l/s), 21.11 [C], and -5.56 [C]													
143758	104550		!Capacity (kJ/h) and power (kJ/h) at 3238 (l/s), 21.11 [C], and -2.78 [C]													
158853	97696		!Capacity (kJ/h) and power (kJ/h) at 3238 (l/s), 21.11 [C], and 0 [C]													
172918	92103		!Capacity (kJ/h) and power (kJ/h) at 3238 (l/s), 21.11 [C], and 2.78 [C]													
188013	87295		!Capacity (kJ/h) and power (kJ/h) at 3238 (l/s), 21.11 [C], and 5.56 [C]													
177045	82614		!Capacity (kJ/h) and power (kJ/h) at 3238 (l/s), 21.11 [C], and 8.33 [C]													
188013	78218		!Capacity (kJ/h) and power (kJ/h) at 3238 (l/s), 21.11 [C], and 11.11 [C]													
197973	74688		!Capacity (kJ/h) and power (kJ/h) at 3238 (l/s), 21.11 [C], and 13.89 [C]													
209290	71049		!Capacity (kJ/h) and power (kJ/h) at 3238 (l/s), 21.11 [C], and 16.67 [C]													
220275	67868		!Capacity (kJ/h) and power (kJ/h) at 3238 (l/s), 21.11 [C], and 19.44 [C]													
230217	65284		!Capacity (kJ/h) and power (kJ/h) at 3238 (l/s), 21.11 [C], and 22.22 [C]													
67254	171532		!Capacity (kJ/h) and power (kJ/h) at 3238 (l/s), 23.89 [C], and -19.44 [C]													
78571	156155		!Capacity (kJ/h) and power (kJ/h) at 3238 (l/s), 23.89 [C], and -16.67 [C]													
89556	144258		!Capacity (kJ/h) and power (kJ/h) at 3238 (l/s), 23.89 [C], and -13.89 [C]													
100529	135782		!Capacity (kJ/h) and power (kJ/h) at 3238 (l/s), 23.89 [C], and -11.11 [C]													
112526	127794		!Capacity (kJ/h) and power (kJ/h) at 3238 (l/s), 23.89 [C], and -8.33 [C]													
125579	118405		!Capacity (kJ/h) and power (kJ/h) at 3238 (l/s), 23.89 [C], and -5.56 [C]													
140674	109160		!Capacity (kJ/h) and power (kJ/h) at 3238 (l/s), 23.89 [C], and -2.78 [C]													
155769	101710		!Capacity (kJ/h) and power (kJ/h) at 3238 (l/s), 23.89 [C], and 0 [C]													
170863	95103		!Capacity (kJ/h) and power (kJ/h) at 3238 (l/s), 23.89 [C], and 2.78 [C]													
183903	91006		!Capacity (kJ/h) and power (kJ/h) at 3238 (l/s), 23.89 [C], and 5.56 [C]													
173948	85942		!Capacity (kJ/h) and power (kJ/h) at 3238 (l/s), 23.89 [C], and 8.33 [C]													
183903	81727		!Capacity (kJ/h) and power (kJ/h) at 3238 (l/s), 23.89 [C], and 11.11 [C]													
195224	77416		!Capacity (kJ/h) and power (kJ/h) at 3238 (l/s), 23.89 [C], and 13.89 [C]													
206209	73680		!Capacity (kJ/h) and power (kJ/h) at 3238 (l/s), 23.89 [C], and 16.67 [C]													
216148	70675		!Capacity (kJ/h) and power (kJ/h) at 3238 (l/s), 23.89 [C], and 19.44 [C]													
226108	67914		!Capacity (kJ/h) and power (kJ/h) at 3238 (l/s), 23.89 [C], and 22.22 [C]													
