348	397	447			!air flow rates in l/s			
29.44	35	40.56	46.11		!outdoor dry bulb temperatures ©			
15	17.22	19.44			!indoor wet bulb temperatures (C)			
22.22	23.89	25.56	26.67		!indoor dry bulb temperatures (C)			
41578	42421	10512		!	447	35	15	23.89
41578	47014	10512		!	447	35	15	25.56
41578	48687	10512		!	447	35	15	26.67
45059	31758	10789		!	447	35	17.22	22.22
45059	36384	10789		!	447	35	17.22	23.89
45059	41010	10789		!	447	35	17.22	25.56
45059	44225	10789		!	447	35	17.22	26.67
48635	25098	11089		!	447	35	19.44	22.22
48635	29855	11089		!	447	35	19.44	23.89
48635	34481	11089		!	447	35	19.44	25.56
48635	37565	11089		!	447	35	19.44	26.67
42484	30610	11599		!	447	40.56	15	22.22
42484	35236	11599		!	447	40.56	15	23.89
42484	39829	11599		!	447	40.56	15	25.56
42484	43044	11599		!	447	40.56	15	26.67
45964	23950	11898		!	447	40.56	17.22	22.22
45964	28674	11898		!	447	40.56	17.22	23.89
45964	33300	11898		!	447	40.56	17.22	25.56
45964	36384	11898		!	447	40.56	17.22	26.67
49493	17159	12231		!	447	40.56	19.44	22.22
49493	21916	12231		!	447	40.56	19.44	23.89
49493	26509	12231		!	447	40.56	19.44	25.56
49493	29593	12231		!	447	40.56	19.44	26.67
40004	29462	12430		!	447	46.11	15	22.22
43390	34088	12430		!	447	46.11	15	23.89
43390	38812	12430		!	447	46.11	15	25.56
43390	41896	12430		!	447	46.11	15	26.67
43247	22802	12741		!	447	46.11	17.22	22.22
43247	27559	12741		!	447	46.11	17.22	23.89
43247	32152	12741		!	447	46.11	17.22	25.56
43247	35236	12741		!	447	46.11	17.22	26.67
46584	16142	13040		!	447	46.11	19.44	22.22
46584	20735	13040		!	447	46.11	19.44	23.89
46584	25361	13040		!	447	46.11	19.44	25.56
46584	28445	13040		!	447	46.11	19.44	26.67
