717.5	820	856	!Air flow rate (l/s)													
15.56	21.11	23.89	26.67	!Return air dry bulb temperature (C)												
-19.44	-16.67	-13.89	-11.11	-8.33	-5.56	-2.78	0	2.78	5.56	8.33	11.11	13.89	16.67	19.44	22.22	!Outdoor dry bulb temperature (C) 
11266	24789		!Capacity (kJ/h) and power (kJ/h) at 718 (l/s), 15.56 [C], and -19.44 [C]													
13189	22437		!Capacity (kJ/h) and power (kJ/h) at 718 (l/s), 15.56 [C], and -16.67 [C]													
15167	20612		!Capacity (kJ/h) and power (kJ/h) at 718 (l/s), 15.56 [C], and -13.89 [C]													
17088	19270		!Capacity (kJ/h) and power (kJ/h) at 718 (l/s), 15.56 [C], and -11.11 [C]													
19014	18194		!Capacity (kJ/h) and power (kJ/h) at 718 (l/s), 15.56 [C], and -8.33 [C]													
21267	16757		!Capacity (kJ/h) and power (kJ/h) at 718 (l/s), 15.56 [C], and -5.56 [C]													
23850	15380		!Capacity (kJ/h) and power (kJ/h) at 718 (l/s), 15.56 [C], and -2.78 [C]													
26267	14521		!Capacity (kJ/h) and power (kJ/h) at 718 (l/s), 15.56 [C], and 0 [C]													
28685	13661		!Capacity (kJ/h) and power (kJ/h) at 718 (l/s), 15.56 [C], and 2.78 [C]													
31102	12934		!Capacity (kJ/h) and power (kJ/h) at 718 (l/s), 15.56 [C], and 5.56 [C]													
29290	12167		!Capacity (kJ/h) and power (kJ/h) at 718 (l/s), 15.56 [C], and 8.33 [C]													
31102	11525		!Capacity (kJ/h) and power (kJ/h) at 718 (l/s), 15.56 [C], and 11.11 [C]													
32862	10972		!Capacity (kJ/h) and power (kJ/h) at 718 (l/s), 15.56 [C], and 13.89 [C]													
34619	10475		!Capacity (kJ/h) and power (kJ/h) at 718 (l/s), 15.56 [C], and 16.67 [C]													
36379	10026		!Capacity (kJ/h) and power (kJ/h) at 718 (l/s), 15.56 [C], and 19.44 [C]													
38188	9605		!Capacity (kJ/h) and power (kJ/h) at 718 (l/s), 15.56 [C], and 22.22 [C]													
