40149	29897	20472		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 17.22 [C],22.22 [C], and 40.56 [C]		
38662	30349	22679		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 17.22 [C],22.22 [C], and 46.11 [C]		
42677	32134	16975		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 17.22 [C],23.33 [C], and 29.44 [C]		
42246	32139	17648		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 17.22 [C],23.33 [C], and 32.22 [C]		
41983	32340	18363		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 17.22 [C],23.33 [C], and 35 [C]		
41195	32630	19332		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 17.22 [C],23.33 [C], and 37.78 [C]		
40149	33148	20472		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 17.22 [C],23.33 [C], and 40.56 [C]		
38662	33720	22679		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 17.22 [C],23.33 [C], and 46.11 [C]		
42677	35186	16975		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 17.22 [C],24.44 [C], and 29.44 [C]		
42246	35544	17648		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 17.22 [C],24.44 [C], and 32.22 [C]		
41983	35444	18363		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 17.22 [C],24.44 [C], and 35 [C]		
41195	35797	19332		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 17.22 [C],24.44 [C], and 37.78 [C]		
40149	36391	20472		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 17.22 [C],24.44 [C], and 40.56 [C]		
38662	36860	22679		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 17.22 [C],24.44 [C], and 46.11 [C]		
42677	38240	16975		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 17.22 [C],25.56 [C], and 29.44 [C]		
42246	38416	17648		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 17.22 [C],25.56 [C], and 32.22 [C]		
41983	38336	18363		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 17.22 [C],25.56 [C], and 35 [C]		
41195	38744	19332		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 17.22 [C],25.56 [C], and 37.78 [C]		
40149	39412	20472		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 17.22 [C],25.56 [C], and 40.56 [C]		
38662	40236	22679		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 17.22 [C],25.56 [C], and 46.11 [C]		
42677	41081	16975		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 17.22 [C],26.67 [C], and 29.44 [C]		
42246	41501	17648		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 17.22 [C],26.67 [C], and 32.22 [C]		
41983	41761	18363		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 17.22 [C],26.67 [C], and 35 [C]		
41195	41905	19332		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 17.22 [C],26.67 [C], and 37.78 [C]		
40149	42666	20472		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 17.22 [C],26.67 [C], and 40.56 [C]		
38662	43604	22679		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 17.22 [C],26.67 [C], and 46.11 [C]		
