805	920	960	!Air flow rate (l/s)													
15.56	21.11	23.89	26.67	!Return air dry bulb temperature (C)												
-19.44	-16.67	-13.89	-11.11	-8.33	-5.56	-2.78	0	2.78	5.56	8.33	11.11	13.89	16.67	19.44	22.22	!Outdoor dry bulb temperature (C) 
16738	36831		!Capacity (kJ/h) and power (kJ/h) at 805 (l/s), 15.56 [C], and -19.44 [C]													
19596	33336		!Capacity (kJ/h) and power (kJ/h) at 805 (l/s), 15.56 [C], and -16.67 [C]													
22534	30624		!Capacity (kJ/h) and power (kJ/h) at 805 (l/s), 15.56 [C], and -13.89 [C]													
25389	28630		!Capacity (kJ/h) and power (kJ/h) at 805 (l/s), 15.56 [C], and -11.11 [C]													
28251	27032		!Capacity (kJ/h) and power (kJ/h) at 805 (l/s), 15.56 [C], and -8.33 [C]													
31598	24897		!Capacity (kJ/h) and power (kJ/h) at 805 (l/s), 15.56 [C], and -5.56 [C]													
35435	22851		!Capacity (kJ/h) and power (kJ/h) at 805 (l/s), 15.56 [C], and -2.78 [C]													
39027	21575		!Capacity (kJ/h) and power (kJ/h) at 805 (l/s), 15.56 [C], and 0 [C]													
42619	20297		!Capacity (kJ/h) and power (kJ/h) at 805 (l/s), 15.56 [C], and 2.78 [C]													
46211	19217		!Capacity (kJ/h) and power (kJ/h) at 805 (l/s), 15.56 [C], and 5.56 [C]													
43518	18078		!Capacity (kJ/h) and power (kJ/h) at 805 (l/s), 15.56 [C], and 8.33 [C]													
46211	17123		!Capacity (kJ/h) and power (kJ/h) at 805 (l/s), 15.56 [C], and 11.11 [C]													
48825	16302		!Capacity (kJ/h) and power (kJ/h) at 805 (l/s), 15.56 [C], and 13.89 [C]													
51435	15563		!Capacity (kJ/h) and power (kJ/h) at 805 (l/s), 15.56 [C], and 16.67 [C]													
54050	14897		!Capacity (kJ/h) and power (kJ/h) at 805 (l/s), 15.56 [C], and 19.44 [C]													
56739	14271		!Capacity (kJ/h) and power (kJ/h) at 805 (l/s), 15.56 [C], and 22.22 [C]													
