963	1100	1148	!Air flow rate (l/s)													
18503	50756		!Capacity (kJ/h) and power (kJ/h) at 963 (l/s), 26.67 [C], and -19.44 [C]													
21605	46174		!Capacity (kJ/h) and power (kJ/h) at 963 (l/s), 26.67 [C], and -16.67 [C]													
24993	42246		!Capacity (kJ/h) and power (kJ/h) at 963 (l/s), 26.67 [C], and -13.89 [C]													
28090	39432		!Capacity (kJ/h) and power (kJ/h) at 963 (l/s), 26.67 [C], and -11.11 [C]													
31196	37584		!Capacity (kJ/h) and power (kJ/h) at 963 (l/s), 26.67 [C], and -8.33 [C]													
34972	34636		!Capacity (kJ/h) and power (kJ/h) at 963 (l/s), 26.67 [C], and -5.56 [C]													
39137	31949		!Capacity (kJ/h) and power (kJ/h) at 963 (l/s), 26.67 [C], and -2.78 [C]													
43207	29837		!Capacity (kJ/h) and power (kJ/h) at 963 (l/s), 26.67 [C], and 0 [C]													
47375	28031		!Capacity (kJ/h) and power (kJ/h) at 963 (l/s), 26.67 [C], and 2.78 [C]													
51151	26595		!Capacity (kJ/h) and power (kJ/h) at 963 (l/s), 26.67 [C], and 5.56 [C]													
48536	25094		!Capacity (kJ/h) and power (kJ/h) at 963 (l/s), 26.67 [C], and 8.33 [C]													
51151	23936		!Capacity (kJ/h) and power (kJ/h) at 963 (l/s), 26.67 [C], and 11.11 [C]													
54253	22685		!Capacity (kJ/h) and power (kJ/h) at 963 (l/s), 26.67 [C], and 13.89 [C]													
57060	21685		!Capacity (kJ/h) and power (kJ/h) at 963 (l/s), 26.67 [C], and 16.67 [C]													
59872	20773		!Capacity (kJ/h) and power (kJ/h) at 963 (l/s), 26.67 [C], and 19.44 [C]													
62777	19917		!Capacity (kJ/h) and power (kJ/h) at 963 (l/s), 26.67 [C], and 22.22 [C]													
20150	42110		!Capacity (kJ/h) and power (kJ/h) at 1100 (l/s), 15.56 [C], and -19.44 [C]													
23828	37787		!Capacity (kJ/h) and power (kJ/h) at 1100 (l/s), 15.56 [C], and -16.67 [C]													
27225	34976		!Capacity (kJ/h) and power (kJ/h) at 1100 (l/s), 15.56 [C], and -13.89 [C]													
30706	32699		!Capacity (kJ/h) and power (kJ/h) at 1100 (l/s), 15.56 [C], and -11.11 [C]													
34102	30961		!Capacity (kJ/h) and power (kJ/h) at 1100 (l/s), 15.56 [C], and -8.33 [C]													
38360	28370		!Capacity (kJ/h) and power (kJ/h) at 1100 (l/s), 15.56 [C], and -5.56 [C]													
42916	26113		!Capacity (kJ/h) and power (kJ/h) at 1100 (l/s), 15.56 [C], and -2.78 [C]													
