805	920	960	!Air flow rate (l/s)													
15.56	21.11	23.89	26.67	!Return air dry bulb temperature (C)												
-19.44	-16.67	-13.89	-11.11	-8.33	-5.56	-2.78	0	2.78	5.56	8.33	11.11	13.89	16.67	19.44	22.22	!Outdoor dry bulb temperature (C) 
17119	37668		!Capacity (kJ/h) and power (kJ/h) at 805 (l/s), 15.56 [C], and -19.44 [C]													
20041	34094		!Capacity (kJ/h) and power (kJ/h) at 805 (l/s), 15.56 [C], and -16.67 [C]													
23046	31320		!Capacity (kJ/h) and power (kJ/h) at 805 (l/s), 15.56 [C], and -13.89 [C]													
25966	29281		!Capacity (kJ/h) and power (kJ/h) at 805 (l/s), 15.56 [C], and -11.11 [C]													
28893	27647		!Capacity (kJ/h) and power (kJ/h) at 805 (l/s), 15.56 [C], and -8.33 [C]													
32316	25463		!Capacity (kJ/h) and power (kJ/h) at 805 (l/s), 15.56 [C], and -5.56 [C]													
36241	23370		!Capacity (kJ/h) and power (kJ/h) at 805 (l/s), 15.56 [C], and -2.78 [C]													
39914	22065		!Capacity (kJ/h) and power (kJ/h) at 805 (l/s), 15.56 [C], and 0 [C]													
43588	20758		!Capacity (kJ/h) and power (kJ/h) at 805 (l/s), 15.56 [C], and 2.78 [C]													
47262	19654		!Capacity (kJ/h) and power (kJ/h) at 805 (l/s), 15.56 [C], and 5.56 [C]													
44507	18489		!Capacity (kJ/h) and power (kJ/h) at 805 (l/s), 15.56 [C], and 8.33 [C]													
47262	17512		!Capacity (kJ/h) and power (kJ/h) at 805 (l/s), 15.56 [C], and 11.11 [C]													
49935	16673		!Capacity (kJ/h) and power (kJ/h) at 805 (l/s), 15.56 [C], and 13.89 [C]													
52604	15917		!Capacity (kJ/h) and power (kJ/h) at 805 (l/s), 15.56 [C], and 16.67 [C]													
55279	15236		!Capacity (kJ/h) and power (kJ/h) at 805 (l/s), 15.56 [C], and 19.44 [C]													
58029	14595		!Capacity (kJ/h) and power (kJ/h) at 805 (l/s), 15.56 [C], and 22.22 [C]													
