3238	3700	3861	!Air Flow Rate (l/s)													
135872	101179	69282		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 17.22 [C],22.22 [C], and 40.56 [C]												
130842	102706	76749		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 17.22 [C],22.22 [C], and 46.11 [C]												
144429	108748	57448		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 17.22 [C],23.33 [C], and 29.44 [C]												
142970	108764	59725		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 17.22 [C],23.33 [C], and 32.22 [C]												
142080	109444	62145		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 17.22 [C],23.33 [C], and 35 [C]												
139411	110425	65423		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 17.22 [C],23.33 [C], and 37.78 [C]												
135872	112179	69282		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 17.22 [C],23.33 [C], and 40.56 [C]												
130842	114115	76749		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 17.22 [C],23.33 [C], and 46.11 [C]												
144429	119077	57448		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 17.22 [C],24.44 [C], and 29.44 [C]												
142970	120290	59725		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 17.22 [C],24.44 [C], and 32.22 [C]												
142080	119950	62145		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 17.22 [C],24.44 [C], and 35 [C]												
139411	121144	65423		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 17.22 [C],24.44 [C], and 37.78 [C]												
135872	123155	69282		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 17.22 [C],24.44 [C], and 40.56 [C]												
130842	124742	76749		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 17.22 [C],24.44 [C], and 46.11 [C]												
144429	129412	57448		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 17.22 [C],25.56 [C], and 29.44 [C]												
142970	130008	59725		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 17.22 [C],25.56 [C], and 32.22 [C]												
142080	129736	62145		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 17.22 [C],25.56 [C], and 35 [C]												
139411	131117	65423		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 17.22 [C],25.56 [C], and 37.78 [C]												
135872	133380	69282		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 17.22 [C],25.56 [C], and 40.56 [C]												
130842	136167	76749		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 17.22 [C],25.56 [C], and 46.11 [C]												
144429	139029	57448		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 17.22 [C],26.67 [C], and 29.44 [C]												
142970	140448	59725		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 17.22 [C],26.67 [C], and 32.22 [C]												
142080	141328	62145		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 17.22 [C],26.67 [C], and 35 [C]												
139411	141815	65423		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 17.22 [C],26.67 [C], and 37.78 [C]												
135872	144389	69282		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 17.22 [C],26.67 [C], and 40.56 [C]												
130842	147565	76749		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 17.22 [C],26.67 [C], and 46.11 [C]												
155955	71644	54132		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 19.44 [C],22.22 [C], and 29.44 [C]												
154176	71464	56330		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 19.44 [C],22.22 [C], and 32.22 [C]												
152416	71281	58891		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 19.44 [C],22.22 [C], and 35 [C]												
148857	71951	62253		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 19.44 [C],22.22 [C], and 37.78 [C]												
147098	72811	64978		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 19.44 [C],22.22 [C], and 40.56 [C]												
141191	72579	71820		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 19.44 [C],22.22 [C], and 46.11 [C]												
155955	81227	54132		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 19.44 [C],23.33 [C], and 29.44 [C]												
154176	81145	56330		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 19.44 [C],23.33 [C], and 32.22 [C]												
152416	82084	58891		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 19.44 [C],23.33 [C], and 35 [C]												
148857	81979	62253		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 19.44 [C],23.33 [C], and 37.78 [C]												
147098	81894	64978		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 19.44 [C],23.33 [C], and 40.56 [C]												
141191	83504	71820		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 19.44 [C],23.33 [C], and 46.11 [C]												
155955	90133	54132		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 19.44 [C],24.44 [C], and 29.44 [C]												
154176	91174	56330		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 19.44 [C],24.44 [C], and 32.22 [C]												
152416	91206	58891		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 19.44 [C],24.44 [C], and 35 [C]												
148857	92354	62253		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 19.44 [C],24.44 [C], and 37.78 [C]												
