717.5	820	856	!Air Flow Rate (l/s)			
15	17.22	19.44	21.67	!Return air wet bulb (C) 		
22.22	23.33	24.44	25.56	26.67	!Return air dry bulb (C) 	
29.44	32.22	35	37.78	40.56	46.11	!Outdoor air dry bulb (C)
36078	35112	16793		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 717.5 (l/s), 15 [C],22.22 [C], and 29.44 [C]		
35912	35275	17374		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 717.5 (l/s), 15 [C],22.22 [C], and 32.22 [C]		
35672	35191	18097		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 717.5 (l/s), 15 [C],22.22 [C], and 35 [C]		
34950	35588	19089		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 717.5 (l/s), 15 [C],22.22 [C], and 37.78 [C]		
34222	36010	20233		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 717.5 (l/s), 15 [C],22.22 [C], and 40.56 [C]		
33015	36747	22392		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 717.5 (l/s), 15 [C],22.22 [C], and 46.11 [C]		
36078	38294	16793		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 717.5 (l/s), 15 [C],23.33 [C], and 29.44 [C]		
35912	38152	17374		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 717.5 (l/s), 15 [C],23.33 [C], and 32.22 [C]		
35672	38409	18097		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 717.5 (l/s), 15 [C],23.33 [C], and 35 [C]		
34950	38542	19089		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 717.5 (l/s), 15 [C],23.33 [C], and 37.78 [C]		
34222	39031	20233		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 717.5 (l/s), 15 [C],23.33 [C], and 40.56 [C]		
33015	40112	22392		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 717.5 (l/s), 15 [C],23.33 [C], and 46.11 [C]		
36078	41370	16793		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 717.5 (l/s), 15 [C],24.44 [C], and 29.44 [C]		
35912	41246	17374		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 717.5 (l/s), 15 [C],24.44 [C], and 32.22 [C]		
35672	41523	18097		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 717.5 (l/s), 15 [C],24.44 [C], and 35 [C]		
34950	42047	19089		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 717.5 (l/s), 15 [C],24.44 [C], and 37.78 [C]		
