262.5	300	312.6	!Air flow rate (l/s)													
13675	5335	!Capacity (kJ/h) and power (kJ/h) at 262.5 (l/s), 23.89 [C], and 19.44 [C]														
14305	5363	!Capacity (kJ/h) and power (kJ/h) at 262.5 (l/s), 23.89 [C], and 22.22 [C]														
4146	4114	!Capacity (kJ/h) and power (kJ/h) at 262.5 (l/s), 26.67 [C], and -19.44 [C]														
4841	4370	!Capacity (kJ/h) and power (kJ/h) at 262.5 (l/s), 26.67 [C], and -16.67 [C]														
5600	4625	!Capacity (kJ/h) and power (kJ/h) at 262.5 (l/s), 26.67 [C], and -13.89 [C]														
6294	4852	!Capacity (kJ/h) and power (kJ/h) at 262.5 (l/s), 26.67 [C], and -11.11 [C]														
6990	5136	!Capacity (kJ/h) and power (kJ/h) at 262.5 (l/s), 26.67 [C], and -8.33 [C]														
7836	5306	!Capacity (kJ/h) and power (kJ/h) at 262.5 (l/s), 26.67 [C], and -5.56 [C]														
8769	5477	!Capacity (kJ/h) and power (kJ/h) at 262.5 (l/s), 26.67 [C], and -2.78 [C]														
9681	5647	!Capacity (kJ/h) and power (kJ/h) at 262.5 (l/s), 26.67 [C], and 0 [C]														
10615	5817	!Capacity (kJ/h) and power (kJ/h) at 262.5 (l/s), 26.67 [C], and 2.78 [C]														
11461	5959	!Capacity (kJ/h) and power (kJ/h) at 262.5 (l/s), 26.67 [C], and 5.56 [C]														
10875	5335	!Capacity (kJ/h) and power (kJ/h) at 262.5 (l/s), 26.67 [C], and 8.33 [C]														
11461	5363	!Capacity (kJ/h) and power (kJ/h) at 262.5 (l/s), 26.67 [C], and 11.11 [C]														
12156	5391	!Capacity (kJ/h) and power (kJ/h) at 262.5 (l/s), 26.67 [C], and 13.89 [C]														
12785	5420	!Capacity (kJ/h) and power (kJ/h) at 262.5 (l/s), 26.67 [C], and 16.67 [C]														
13415	5448	!Capacity (kJ/h) and power (kJ/h) at 262.5 (l/s), 26.67 [C], and 19.44 [C]														
14066	5477	!Capacity (kJ/h) and power (kJ/h) at 262.5 (l/s), 26.67 [C], and 22.22 [C]														
4515	3717	!Capacity (kJ/h) and power (kJ/h) at 300 (l/s), 15.56 [C], and -19.44 [C]														
5339	3944	!Capacity (kJ/h) and power (kJ/h) at 300 (l/s), 15.56 [C], and -16.67 [C]														
6100	4171	!Capacity (kJ/h) and power (kJ/h) at 300 (l/s), 15.56 [C], and -13.89 [C]														
6880	4398	!Capacity (kJ/h) and power (kJ/h) at 300 (l/s), 15.56 [C], and -11.11 [C]														
7641	4625	!Capacity (kJ/h) and power (kJ/h) at 300 (l/s), 15.56 [C], and -8.33 [C]														
8595	4767	!Capacity (kJ/h) and power (kJ/h) at 300 (l/s), 15.56 [C], and -5.56 [C]														
9616	4909	!Capacity (kJ/h) and power (kJ/h) at 300 (l/s), 15.56 [C], and -2.78 [C]														
10571	5079	!Capacity (kJ/h) and power (kJ/h) at 300 (l/s), 15.56 [C], and 0 [C]														
11570	5221	!Capacity (kJ/h) and power (kJ/h) at 300 (l/s), 15.56 [C], and 2.78 [C]														
12525	5363	!Capacity (kJ/h) and power (kJ/h) at 300 (l/s), 15.56 [C], and 5.56 [C]														
11830	4767	!Capacity (kJ/h) and power (kJ/h) at 300 (l/s), 15.56 [C], and 8.33 [C]														
12525	4796	!Capacity (kJ/h) and power (kJ/h) at 300 (l/s), 15.56 [C], and 11.11 [C]														
13241	4824	!Capacity (kJ/h) and power (kJ/h) at 300 (l/s), 15.56 [C], and 13.89 [C]														
13936	4852	!Capacity (kJ/h) and power (kJ/h) at 300 (l/s), 15.56 [C], and 16.67 [C]														
14695	4880	!Capacity (kJ/h) and power (kJ/h) at 300 (l/s), 15.56 [C], and 19.44 [C]														
15390	4909	!Capacity (kJ/h) and power (kJ/h) at 300 (l/s), 15.56 [C], and 22.22 [C]														
4385	3888	!Capacity (kJ/h) and power (kJ/h) at 300 (l/s), 21.11 [C], and -19.44 [C]														
5145	4114	!Capacity (kJ/h) and power (kJ/h) at 300 (l/s), 21.11 [C], and -16.67 [C]														
5861	4342	!Capacity (kJ/h) and power (kJ/h) at 300 (l/s), 21.11 [C], and -13.89 [C]														
6621	4597	!Capacity (kJ/h) and power (kJ/h) at 300 (l/s), 21.11 [C], and -11.11 [C]														
7380	4824	!Capacity (kJ/h) and power (kJ/h) at 300 (l/s), 21.11 [C], and -8.33 [C]														
8336	4994	!Capacity (kJ/h) and power (kJ/h) at 300 (l/s), 21.11 [C], and -5.56 [C]														
9290	5136	!Capacity (kJ/h) and power (kJ/h) at 300 (l/s), 21.11 [C], and -2.78 [C]														
10245	5306	!Capacity (kJ/h) and power (kJ/h) at 300 (l/s), 21.11 [C], and 0 [C]														
11201	5448	!Capacity (kJ/h) and power (kJ/h) at 300 (l/s), 21.11 [C], and 2.78 [C]														
12156	5619	!Capacity (kJ/h) and power (kJ/h) at 300 (l/s), 21.11 [C], and 5.56 [C]														
11461	4994	!Capacity (kJ/h) and power (kJ/h) at 300 (l/s), 21.11 [C], and 8.33 [C]														
12156	5022	!Capacity (kJ/h) and power (kJ/h) at 300 (l/s), 21.11 [C], and 11.11 [C]														
12785	5051	!Capacity (kJ/h) and power (kJ/h) at 300 (l/s), 21.11 [C], and 13.89 [C]														
13480	5079	!Capacity (kJ/h) and power (kJ/h) at 300 (l/s), 21.11 [C], and 16.67 [C]														
14195	5108	!Capacity (kJ/h) and power (kJ/h) at 300 (l/s), 21.11 [C], and 19.44 [C]														
14891	5136	!Capacity (kJ/h) and power (kJ/h) at 300 (l/s), 21.11 [C], and 22.22 [C]														
4320	3944	!Capacity (kJ/h) and power (kJ/h) at 300 (l/s), 23.89 [C], and -19.44 [C]														
5036	4200	!Capacity (kJ/h) and power (kJ/h) at 300 (l/s), 23.89 [C], and -16.67 [C]														
5796	4427	!Capacity (kJ/h) and power (kJ/h) at 300 (l/s), 23.89 [C], and -13.89 [C]														
6490	4682	!Capacity (kJ/h) and power (kJ/h) at 300 (l/s), 23.89 [C], and -11.11 [C]														
7250	4937	!Capacity (kJ/h) and power (kJ/h) at 300 (l/s), 23.89 [C], and -8.33 [C]														
8140	5079	!Capacity (kJ/h) and power (kJ/h) at 300 (l/s), 23.89 [C], and -5.56 [C]														
9095	5249	!Capacity (kJ/h) and power (kJ/h) at 300 (l/s), 23.89 [C], and -2.78 [C]														
10050	5420	!Capacity (kJ/h) and power (kJ/h) at 300 (l/s), 23.89 [C], and 0 [C]														
11005	5562	!Capacity (kJ/h) and power (kJ/h) at 300 (l/s), 23.89 [C], and 2.78 [C]														
11895	5732	!Capacity (kJ/h) and power (kJ/h) at 300 (l/s), 23.89 [C], and 5.56 [C]														
11266	5108	!Capacity (kJ/h) and power (kJ/h) at 300 (l/s), 23.89 [C], and 8.33 [C]														
11895	5136	!Capacity (kJ/h) and power (kJ/h) at 300 (l/s), 23.89 [C], and 11.11 [C]														
12590	5164	!Capacity (kJ/h) and power (kJ/h) at 300 (l/s), 23.89 [C], and 13.89 [C]														
13306	5193	!Capacity (kJ/h) and power (kJ/h) at 300 (l/s), 23.89 [C], and 16.67 [C]														
13936	5221	!Capacity (kJ/h) and power (kJ/h) at 300 (l/s), 23.89 [C], and 19.44 [C]														
14630	5249	!Capacity (kJ/h) and power (kJ/h) at 300 (l/s), 23.89 [C], and 22.22 [C]														
4255	4029	!Capacity (kJ/h) and power (kJ/h) at 300 (l/s), 26.67 [C], and -19.44 [C]														
4971	4285	!Capacity (kJ/h) and power (kJ/h) at 300 (l/s), 26.67 [C], and -16.67 [C]														
5666	4540	!Capacity (kJ/h) and power (kJ/h) at 300 (l/s), 26.67 [C], and -13.89 [C]														
6425	4767	!Capacity (kJ/h) and power (kJ/h) at 300 (l/s), 26.67 [C], and -11.11 [C]														
7119	5022	!Capacity (kJ/h) and power (kJ/h) at 300 (l/s), 26.67 [C], and -8.33 [C]														
8010	5193	!Capacity (kJ/h) and power (kJ/h) at 300 (l/s), 26.67 [C], and -5.56 [C]														
8964	5363	!Capacity (kJ/h) and power (kJ/h) at 300 (l/s), 26.67 [C], and -2.78 [C]														
9855	5533	!Capacity (kJ/h) and power (kJ/h) at 300 (l/s), 26.67 [C], and 0 [C]														
10810	5703	!Capacity (kJ/h) and power (kJ/h) at 300 (l/s), 26.67 [C], and 2.78 [C]														
11700	5845	!Capacity (kJ/h) and power (kJ/h) at 300 (l/s), 26.67 [C], and 5.56 [C]														
11070	5221	!Capacity (kJ/h) and power (kJ/h) at 300 (l/s), 26.67 [C], and 8.33 [C]														
11700	5249	!Capacity (kJ/h) and power (kJ/h) at 300 (l/s), 26.67 [C], and 11.11 [C]														
12416	5278	!Capacity (kJ/h) and power (kJ/h) at 300 (l/s), 26.67 [C], and 13.89 [C]														
13046	5306	!Capacity (kJ/h) and power (kJ/h) at 300 (l/s), 26.67 [C], and 16.67 [C]														
13675	5335	!Capacity (kJ/h) and power (kJ/h) at 300 (l/s), 26.67 [C], and 19.44 [C]														
