826	944	984		!Air flow rate			
15	17.22	19.44	21.67		!Return air wet bulb		
22.22	23.33	24.44	25.56	26.67		!Return air dry bulb	
29.44	32.22	35	37.78	40.56	46.11		!Outdoor air dry bulb
53084.70	61930.04	20433.00					
63091.59	42239.51	17093.98					
62329.03	41806.26	17585.23					
61947.76	41377.99	18174.36					
60937.70	40954.70	18763.49					
59419.28	40521.45	19352.62					
57131.60	39669.88	20630.60					
63091.59	46372.83	17093.98					
62329.03	45944.56	17585.23					
61947.76	45944.56	18174.36					
60937.70	45232.43	18763.49					
59419.28	44804.16	19352.62					
57131.60	43947.62	20630.60					
63091.59	50655.54	17093.98					
62329.03	50655.54	17585.23					
61947.76	50222.29	18174.36					
60937.70	49799.00	18763.49					
59419.28	49370.73	19352.62					
57131.60	48085.91	20630.60					
63091.59	55222.11	17093.98					
62329.03	54788.86	17585.23					
61947.76	54365.57	18174.36					
60937.70	53937.30	18763.49					
59419.28	53504.05	19352.62					
57131.60	52652.48	20630.60					
63091.59	59360.41	17093.98					
62329.03	58927.16	17585.23					
61947.76	58927.16	18174.36					
60937.70	58075.59	18763.49					
59419.28	57642.34	19352.62					
57131.60	56930.22	20630.60					
68282.33	33101.40	17389.47					
67519.78	32673.12	17878.87					
66891.00	32249.83	18468.00					
65372.57	31816.58	19058.98					
64228.74	31393.29	19648.11					
61700.26	30108.48	20826.36					
68282.33	37239.69	17389.47					
67519.78	36816.40	17878.87					
66891.00	36816.40	18468.00					
65372.57	35954.88	19058.98					
64228.74	35531.59	19648.11					
61700.26	34670.06	20826.36					
68282.33	41377.99	17389.47					
67519.78	41377.99	17878.87					
66891.00	40954.70	18468.00					
65372.57	40521.45	19058.98					
64228.74	39669.88	19648.11					
61700.26	38952.78	20826.36					
68282.33	45944.56	17389.47					
67519.78	45516.29	17878.87					
66891.00	45232.43	18468.00					
65372.57	44804.16	19058.98					
64228.74	44375.89	19648.11					
61700.26	43091.07	20826.36					
68282.33	50222.29	17389.47					
67519.78	49799.00	17878.87					
66891.00	49799.00	18468.00					
65372.57	48942.46	19058.98					
64228.74	48514.19	19648.11					
61700.26	47657.64	20826.36					
73854.35	23400.55	17683.11					
72717.21	23400.55	18272.24					
72081.74	22972.28	18763.49					
70563.32	22544.01	19352.62					
69044.89	21687.46	19843.87					
66128.44	20975.34	21022.12					
73854.35	27967.12	17683.11					
72717.21	27538.85	18272.24					
72081.74	27250.01	18763.49					
70563.32	26826.72	19352.62					
69044.89	26398.45	19843.87					
66128.44	25113.64	21022.12					
73854.35	32249.83	17683.11					
72717.21	31816.58	18272.24					
72081.74	31393.29	18763.49					
70563.32	30965.02	19352.62					
69044.89	30531.77	19843.87					
66128.44	29246.95	21022.12					
73854.35	36388.13	17683.11					
72717.21	36388.13	18272.24					
72081.74	35954.88	18763.49					
70563.32	35531.59	19352.62					
69044.89	34670.06	19843.87					
66128.44	33818.50	21022.12					
73854.35	40954.70	17683.11					
72717.21	40521.45	18272.24					
72081.74	40093.17	18763.49					
70563.32	39669.88	19352.62					
69044.89	39381.05	19843.87					
66128.44	38096.24	21022.12					
59038.00	53080.75	16800.34					
58656.72	53080.75	17389.47					
58275.44	52652.48	17978.60					
57131.60	52224.21	18567.73					
56121.55	51795.94	19254.74					
54221.84	51083.81	20630.60					
59038.00	58075.59	16800.34					
58656.72	57642.34	17389.47					
58275.44	57642.34	17978.60					
57131.60	56930.22	18567.73					
56121.55	56506.93	19254.74					
54221.84	55645.40	20630.60					
59038.00	62353.33	16800.34					
58656.72	61930.04	17389.47					
58275.44	61930.04	17978.60					
57131.60	61496.79	18567.73					
56121.55	61073.49	19254.74					
54221.84	60211.97	20630.60					
59038.00	66919.90	16800.34					
58656.72	66919.90	17389.47					
58275.44	66496.60	17978.60					
57131.60	66063.35	18567.73					
56121.55	65635.08	19254.74					
54221.84	63926.98	20630.60					
59038.00	70629.92	16800.34					
58656.72	69773.38	17389.47					
58275.44	69489.52	17978.60					
57131.60	68632.98	18567.73					
56121.55	67348.17	19254.74					
54221.84	65635.08	20630.60					
64228.74	44804.16	17191.86					
63466.18	44375.89	17683.11					
63091.59	43947.62	18272.24					
61947.76	43524.33	18863.22					
60556.42	43091.07	19548.38					
58275.44	42239.51	20826.36					
64228.74	49370.73	17191.86					
63466.18	48942.46	17683.11					
63091.59	48942.46	18272.24					
61947.76	47657.64	18863.22					
60556.42	47229.37	19548.38					
58275.44	46372.83	20826.36					
64228.74	53504.05	17191.86					
63466.18	53504.05	17683.11					
63091.59	53080.75	18272.24					
