2657	3248											!Fluid Flow Rate [kg/h]
236	472	708	944	1180	1321							!Air Flow Rate [l/s]
37.778	43.333	48.889	54.444	60	65.556	71.111	76.667	82.222	87.778	93.333		!Inlet Fluid Temperatures [C]
10	12.778	15.556	18.333	21.111	23.889	26.667						!Inlet Air Dry Bulb Temperature [C]
7907												
7107												
6307												
5522												
4727												
3943												
3164												
9471												
8686												
7907												
7107												
6307												
5522												
4727												
11050												
10266												
9471												
8686												
7907												
7107												
6307												
12629												
11850												
11050												
10266												
9471												
8686												
7907												
14209												
13429												
12629												
11850												
11050												
10266												
9471												
15793												
15009												
14209												
13429												
12629												
11850												
11050												
17373												
16593												
15793												
15009												
14209												
13429												
12629												
18952												
18157												
17373												
16593												
15793												
15009												
14209												
20536												
19736												
18952												
18157												
17373												
16593												
15793												
22116												
21316												
20536												
19736												
18952												
18157												
17373												
23695												
22895												
22116												
21316												
20536												
19736												
18952												
13656												
12271												
10892												
9544												
8160												
6812												
5459												
16356												
15004												
13656												
12271												
10892												
9544												
8160												
19083												
17736												
16356												
15004												
13656												
12271												
10892												
21816												
20463												
19083												
17736												
16356												
15004												
13656												
24548												
23195												
21816												
20463												
19083												
17736												
16356												
27275												
25927												
24548												
23195												
21816												
20463												
19083												
30007												
28659												
27275												
25927												
24548												
23195												
21816												
32739												
31360												
30007												
28659												
27275												
25927												
24548												
35466												
34087												
32739												
31360												
30007												
28659												
27275												
38198												
36819												
35466												
34087												
32739												
31360												
30007												
40931												
39551												
38198												
36819												
35466												
34087												
32739												
19405												
17441												
15477												
13561												
11597												
9681												
7760												
23242												
21321												
19405												
17441												
15477												
13561												
11597												
27122												
25201												
23242												
21321												
19405												
17441												
15477												
31002												
29081												
27122												
25201												
23242												
21321												
19405												
34882												
32960												
31002												
29081												
27122												
25201												
23242												
38762												
36840												
34882												
32960												
31002												
29081												
27122												
42642												
40725												
38762												
36840												
34882												
32960												
31002												
46522												
44563												
42642												
40725												
38762												
36840												
34882												
50401												
48443												
46522												
44563												
42642												
40725												
38762												
54281												
52323												
50401												
48443												
46522												
