14417	9218	6048	!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 17.22 [C],22.22 [C], and 37.78 [C]			
14051	9116	6242	!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 17.22 [C],22.22 [C], and 40.56 [C]			
13531	8911	6659	!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 17.22 [C],22.22 [C], and 46.11 [C]			
14936	10415	5502	!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 17.22 [C],23.33 [C], and 29.44 [C]			
14785	10311	5662	!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 17.22 [C],23.33 [C], and 32.22 [C]			
14693	10311	5855	!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 17.22 [C],23.33 [C], and 35 [C]			
14417	10208	6048	!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 17.22 [C],23.33 [C], and 37.78 [C]			
14051	10107	6242	!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 17.22 [C],23.33 [C], and 40.56 [C]			
13531	9901	6659	!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 17.22 [C],23.33 [C], and 46.11 [C]			
14936	11404	5502	!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 17.22 [C],24.44 [C], and 29.44 [C]			
14785	11404	5662	!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 17.22 [C],24.44 [C], and 32.22 [C]			
14693	11301	5855	!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 17.22 [C],24.44 [C], and 35 [C]			
14417	11199	6048	!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 17.22 [C],24.44 [C], and 37.78 [C]			
14051	11096	6242	!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 17.22 [C],24.44 [C], and 40.56 [C]			
13531	10823	6659	!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 17.22 [C],24.44 [C], and 46.11 [C]			
14936	12394	5502	!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 17.22 [C],25.56 [C], and 29.44 [C]			
14785	12325	5662	!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 17.22 [C],25.56 [C], and 32.22 [C]			
14693	12223	5855	!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 17.22 [C],25.56 [C], and 35 [C]			
14417	12121	6048	!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 17.22 [C],25.56 [C], and 37.78 [C]			
14051	12017	6242	!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 17.22 [C],25.56 [C], and 40.56 [C]			
13531	11814	6659	!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 17.22 [C],25.56 [C], and 46.11 [C]			
14936	13315	5502	!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 17.22 [C],26.67 [C], and 29.44 [C]			
14785	13315	5662	!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 17.22 [C],26.67 [C], and 32.22 [C]			
14693	13315	5855	!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 17.22 [C],26.67 [C], and 35 [C]			
14417	13110	6048	!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 17.22 [C],26.67 [C], and 37.78 [C]			
14051	13009	6242	!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 17.22 [C],26.67 [C], and 40.56 [C]			
13531	12803	6659	!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 17.22 [C],26.67 [C], and 46.11 [C]			
16128	7409	5598	!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 19.44 [C],22.22 [C], and 29.44 [C]			
15944	7306	5759	!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 19.44 [C],22.22 [C], and 32.22 [C]			
15762	7204	5952	!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 19.44 [C],22.22 [C], and 35 [C]			
15394	7102	6145	!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 19.44 [C],22.22 [C], and 37.78 [C]			
15212	7102	6338	!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 19.44 [C],22.22 [C], and 40.56 [C]			
14601	6795	6724	!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 19.44 [C],22.22 [C], and 46.11 [C]			
16128	8400	5598	!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 19.44 [C],23.33 [C], and 29.44 [C]			
15944	8296	5759	!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 19.44 [C],23.33 [C], and 32.22 [C]			
15762	8296	5952	!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 19.44 [C],23.33 [C], and 35 [C]			
15394	8092	6145	!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 19.44 [C],23.33 [C], and 37.78 [C]			
15212	7988	6338	!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 19.44 [C],23.33 [C], and 40.56 [C]			
14601	7818	6724	!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 19.44 [C],23.33 [C], and 46.11 [C]			
16128	9321	5598	!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 19.44 [C],24.44 [C], and 29.44 [C]			
15944	9321	5759	!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 19.44 [C],24.44 [C], and 32.22 [C]			
15762	9218	5952	!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 19.44 [C],24.44 [C], and 35 [C]			
15394	9116	6145	!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 19.44 [C],24.44 [C], and 37.78 [C]			
15212	8911	6338	!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 19.44 [C],24.44 [C], and 40.56 [C]			
