Event  Duration  TemperedDraw  HotDraw  ColdDraw
Hour  Seconds  gph  gph  gph
7.8750	78	44.7000	30.6534	14.0466
8.6233	18	24.1200	16.5405	7.5795
8.8267	144	155.7000	106.7725	48.9275
9.3350	798	155.5800	106.6902	48.8898
9.6733	66	61.6800	42.2975	19.3825
9.6967	12	68.2200	46.7824	21.4376
9.7300	108	87.1200	59.7432	27.3768
10.1100	24	94.6200	64.8864	29.7336
10.1367	84	182.6400	182.6400	0.0000
10.1633	12	72.1200	49.4569	22.6631
11.2333	24	28.3200	19.4207	8.8993
11.2650	6	2.8800	1.9750	0.9050
12.5550	126	101.5200	69.6181	31.9019
13.5683	54	42.9600	29.4602	13.4998
14.9467	36	105.2400	72.1691	33.0709
14.9600	18	62.9400	43.1616	19.7784
14.9850	36	136.6800	93.7294	42.9506
15.0167	66	56.8800	39.0059	17.8741
15.1800	12	28.5000	19.5441	8.9559
16.1900	6	132.1800	90.6435	41.5365
16.4683	6	29.3400	20.1201	9.2199
16.9317	48	46.2000	31.6820	14.5180
17.2867	24	49.8000	34.1507	15.6493
17.5933	6	8.2200	5.6369	2.5831
17.9967	108	29.7000	20.3670	9.3330
22.7517	36	131.5200	90.1909	41.3291
24.5083	48	3.0000	2.0584	0.9416
24.5417	42	93.0000	63.8114	29.1886
24.5733	78	68.4000	46.9323	21.4677
24.6050	72	21.4200	14.6972	6.7228
27.3800	24	97.6800	67.0226	30.6574
29.0950	12	42.2400	28.9827	13.2573
29.8117	78	57.7200	39.6043	18.1157
29.8450	90	81.3000	55.7835	25.5165
29.8767	30	92.8200	63.6879	29.1321
30.9050	6	12.9600	8.8924	4.0676
30.9383	30	96.5400	66.2404	30.2996
30.9700	18	90.4200	62.0412	28.3788
31.4550	174	37.2000	25.5246	11.6754
32.0867	30	21.4800	14.7384	6.7416
32.1183	12	93.6600	64.2643	29.3957
32.1517	48	14.5800	10.0040	4.5760
32.3917	60	57.2400	39.2749	17.9651
33.5250	6	7.5600	5.1873	2.3727
34.5200	54	9.8400	6.7517	3.0883
34.5517	12	64.7400	44.4210	20.3190
34.5850	18	80.1600	55.0013	25.1587
35.0250	6	31.4400	21.5724	9.8676
35.0583	60	112.1400	76.9442	35.1958
35.0900	42	50.8200	34.8699	15.9501
37.2067	24	119.9400	82.2962	37.6438
37.2383	24	58.8000	40.3453	18.4547
37.7067	6	48.0000	32.9349	15.0651
41.7683	114	104.4000	71.6335	32.7665
41.9233	18	44.7000	30.6707	14.0293
41.9567	24	88.1400	60.4768	27.6632
42.8000	66	68.4000	46.9323	21.4677
42.9450	6	20.2800	13.9150	6.3650
46.4150	102	50.1000	34.3758	15.7242
46.4467	24	108.4800	74.4329	34.0471
46.4783	30	32.1000	22.0252	10.0748
46.5117	18	56.9400	39.0691	17.8709
46.5433	162	86.5200	59.3652	27.1548
46.6250	24	103.9800	71.3453	32.6347
55.6400	30	47.1000	32.3346	14.7654
55.6733	24	80.0400	54.9482	25.0918
56.2450	90	21.0000	14.4167	6.5833
56.4300	204	211.5600	145.2378	66.3222
57.1133	120	124.5600	85.5115	39.0485
57.1469	18	201.9000	138.6061	63.2939
57.1522	96	124.5600	85.5115	39.0485
57.1792	66	180.1800	123.6952	56.4848
57.1978	582	124.5600	85.5115	39.0485
57.7383	12	67.9800	46.6689	21.3111
58.1383	18	73.8000	50.6644	23.1356
59.7983	48	124.5000	85.4704	39.0296
60.0467	6	0.1200	0.0824	0.0376
60.0800	78	96.9600	66.5639	30.3961
60.7033	30	112.0800	76.9439	35.1361
60.7350	48	49.6800	34.1058	15.5742
60.7683	6	29.5200	20.2657	9.2543
60.8000	6	4.0200	2.7598	1.2602
60.9183	66	100.2600	100.2600	0.0000
61.0800	54	87.7800	87.7800	0.0000
61.2433	60	67.9800	67.9800	0.0000
61.4067	90	74.9400	74.9400	0.0000
62.2883	78	20.5200	14.0872	6.4328
62.3217	6	52.1400	35.7946	16.3454
62.3533	6	34.9800	24.0141	10.9659
63.6500	30	17.4000	11.9453	5.4547
63.6600	30	52.1400	35.7946	16.3454
64.8950	42	89.8800	61.7034	28.1766
64.9283	18	117.9600	80.9806	36.9794
64.9600	42	57.3000	39.3370	17.9630
64.9917	12	63.9000	43.8679	20.0321
65.0250	36	99.6600	68.4175	31.2425
65.0567	6	69.4200	47.6574	21.7626
65.1750	30	126.6000	86.9120	39.6880
65.2067	12	129.9000	89.1775	40.7225
65.2400	6	68.6400	47.1220	21.5180
65.2717	30	54.5400	37.4422	17.0978
66.0817	96	55.3800	38.0189	17.3611
67.6767	54	14.5200	9.9681	4.5519
69.3983	540	121.6800	83.5344	38.1456
69.9217	36	46.4400	31.8815	14.5585
69.9533	12	20.5200	14.0872	6.4328
70.0217	78	78.3000	78.3000	0.0000
70.1850	120	90.6600	90.6600	0.0000
70.3483	54	88.4400	88.4400	0.0000
70.5117	72	61.2600	61.2600	0.0000
70.6733	72	94.5000	94.5000	0.0000
76.9817	12	80.7600	55.4701	25.2899
77.9867	48	140.5800	140.5800	0.0000
79.2250	12	140.2200	140.2200	0.0000
79.6700	6	0.4800	0.3297	0.1503
80.4617	60	141.1800	141.1800	0.0000
80.9417	126	118.2000	81.1858	37.0142
80.9900	6	5.8200	3.9975	1.8225
81.0067	12	30.2400	20.7704	9.4696
81.0383	6	15.3600	10.5500	4.8100
84.5450	78	70.0800	48.1345	21.9455
84.7383	6	10.8600	7.4592	3.4008
86.7317	6	0.6000	0.4121	0.1879
86.7650	6	37.2000	25.5509	11.6491
86.9017	12	67.6800	46.4861	21.1939
