   329
 -20.5 -15.9 -10.9  -1.4   7.9  13.9  15.2  12.7   6.4  -3.8 -13.9 -20.1
    22BILLINGS        MT        45.80       .00       .00
  5516  8661 13499 17322 21708 24669 27053 22952 16683 11199  6371  4780
    24    24    27    35    52    66    71    71    50    36    28    24
  -5.6  -2.6    .3   7.0  12.5  17.0  22.1  21.2  14.9   9.6   2.1  -2.9
    23BINGHAMTON      NY        42.22       .00       .00
  4378  6535  9774 14091 16977 19082 18830 16168 12837  8843  4696  3373
    27    27    27    41    66   101   117   114    88    57    34    27
  -5.6  -5.1   -.4   7.1  12.8  18.2  20.6  19.6  15.7  10.2   3.4  -3.7
    24BIRMINGHAM      AL        33.57       .00       .00
  8019 10975 14709 18993 21074 21773 20539 19563 16508 13741  9736  7506
    39    44    66    89   114   139   159   159   132    94    57    39
   6.8   8.3  11.8  17.3  21.4  25.2  26.6  26.2  23.3  17.4  11.2   7.3
    25BISMARCK        ND        46.77       .00       .00
  5298  8803 13257 16562 20974 23376 24782 21298 15372 10302  5757  4232
     7    27    31    30    57    88   101    94    57    39    31    22
 -13.2 -10.3  -3.8   6.1  12.4  17.7  21.6  20.7  14.2   8.2  -1.7  -9.1
    26BOISE           ID        43.57       .00       .00
  5508  9530 14800 20733 25838 27955 29651 24928 19715 12913  7130  4962
    27    30    30    36    48    60    54    54    41    41    35    27
  -1.7   1.9   5.1   9.4  14.1  18.2  23.6  22.3  17.3  11.2   4.3    .1
    27BOSTON          MA        42.37       .00       .00
  5396  8053 11535 15046 18391 20622 19852 16870 14298 10096  5707  4574
    27    27    27    39    57   101   124   108    88    62    34    34
  -1.6   -.9   3.4   9.2  14.8  20.0  22.9  21.8  18.1  13.0   7.3    .6
    28BROWNSVILLE     TX        25.90       .00       .00
 10359 12886 16545 19715 21870 24006 25109 23008 19224 16330 11968  9787
   114   114   132   147   167   183   191   191   176   159   139   114
  15.7  17.4  19.8  23.8  26.3  28.2  29.1  29.1  27.6  24.3  20.1  17.1
    29BRYCE CANYON    UT        37.70       .00       .00
 10370 14024 19121 24207 27848 30131 27509 24476 21789 16625 11523  9286
    24    24    21    23    29    27    32    38    29    24    24    21
  -6.8  -4.9  -1.8   3.2   7.9  12.3  16.4  15.5  11.6   6.0   -.7  -5.3
    30BUFFALO         NY        42.93       .00       .00
  3960  6201 10083 14923 18119 20470 20160 17173 13072  8902  4578  3215
    24    31    31    43    54   101   117   114    77    54    34    31
  -4.6  -4.2    .1   7.2  12.8  18.7  21.2  20.2  16.4  10.8   4.3  -2.3
    31BURLINGTON      IA        40.78       .00       .00
  6573  9744 13223 17454 21286 24071 23661 20747 16076 12039  7532  5455
    24    31    31    44    82   117   132   132   101    66    34    31
  -5.1  -2.6   2.7  10.7  16.6  21.9  24.1  23.3  18.6  12.9   4.3  -2.4
    32BURLINGTON      VT        44.47       .00       .00
  4373  6887 10670 14711 17864 19621 19533 16740 12736  8404  4251  3214
    19    14    31    30    52    82   101   101    82    57    27    24
  -8.4  -7.4  -1.6   6.1  12.7  18.4  21.0  19.7  15.2   9.3   2.8  -5.2
    33BURNS           OR        43.58       .00       .00
  5561  8988 13472 18710 23293 25872 27918 23636 18386 11832  6736  4886
    31    27    27    29    38    38   -21    32    33    32    28    31
  -3.8   -.6   2.3   6.8  11.2  15.0  20.2  18.9  14.6   8.5   2.1  -2.3
    34CAPE HATTERAS   NC        35.27       .00       .00
  7781 10806 15053 20132 22264 23105 21797 19355 16688 12899  9906  7475
    43    39    57    82   124   147   167   167   139   108    71    39
   7.4   7.7  10.3  14.9  19.4  23.5  25.6  25.3  23.2  18.4  13.3   8.7
    35CARIBOU         ME        46.87       .00       .00
  4759  8217 12860 16050 17906 19945 20001 17031 12513  7812  4158  3524
    12    17    27    30    44    82    94    94    71    41    31    17
 -11.8 -10.6  -4.7   2.6   9.8  15.3  18.3  16.8  12.3   6.6   -.3  -8.8
    36CASPER          WY        42.92       .00       .00
  7754 11502 16355 20959 25008 28387 28765 25256 19855 13831  8684  6744
    21    21    24    30    44    55    65    60    41    31    28    24
  -4.9  -2.9   -.6   5.9  11.5  16.6  21.7  20.9  14.8   8.7   1.1  -3.2
    37CEDAR CITY      UT        37.70       .00       .00
 10014 13389 18562 23746 28001 30708 28410 25436 22339 16566 11263  8915
    24    24    21    23    29    27    32    38    29    24    24    21
  -1.8    .6   3.6   8.4  13.4  18.3  22.9  21.8  17.3  10.8   3.8   -.7
    38CHARLESTON      SC        32.90       .00       .00
  8446 11296 15192 19660 21111 20926 20416 17991 15822 13536 10601  8179
    49    65    82   101   132   167   176   176   154   124    88    49
   9.2  10.3  13.6  18.1  22.3  25.5  26.8  26.4  24.0  18.9  13.5   9.6
    39CHARLESTON      WV        38.37       .00       .00
  5656  8018 11457 15386 18606 20155 19095 17186 14436 11034  6958  4995
    31    31    30    60    94   114   139   139   108    62    34    27
   1.4   2.5   6.9  13.3  18.1  22.2  23.9  23.1  19.7  13.9   7.4   2.3
    40CHARLOTTE       NC        35.22       .00       .00
  8160 11020 14952 19236 21059 21802 20779 19236 16065 13317  9823  7631
    30    34    39    77   101   132   147   147   132    77    44    27
   5.6   6.7  10.3  16.0  20.4  24.4  25.8  25.4  22.2  16.5  10.6   5.8
    41CHATTANOOGA     TN        35.03       .00       .00
  7156  9744 13349 17588 19655 20784 19693 18499 15156 12577  8772  6587
    34    39    60    77   108   139   147   154   132    82    49    34
   4.6   6.1   9.9  15.8  20.3  24.4  26.0  25.6  22.2  16.0   9.4   5.1
    42CHEYENNE        WY        41.15       .00       .00
  8691 12118 16264 20093 22637 25626 25307 22307 18923 14093  9338  7615
    18    18    24    28    44    60    71    71    48    31    19    21
  -3.0  -1.7   -.2   5.9  11.3  16.3  20.6  19.8  14.6   8.8   1.9  -1.6
    43CHICAGO         IL        41.78       .00       .00
  5754  8620 12562 16558 20302 22777 22060 19513 15365 10996  6419  4557
    31    31    31    39    57   101   124   124    88    57    34    31
  -4.3  -2.6   2.7   9.9  15.6  21.4  23.7  23.2  18.8  13.0   4.7  -1.9
    44CINCINNATI      OH        39.07       .00       .00
  5680  8380 11659 15872 18980 20849 20098 18549 14885 11233  6679  4908
    31    31    30    52    89   124   139   132    94    66    34    27
   -.5    .7   5.4  12.2  17.3  22.3  24.2  23.6  19.9  13.8   6.6    .9
    45CLAYTON         NM        36.45       .00       .00
 10913 14080 18744 23146 25216 27437 25916 23802 20450 16269 11665  9767
    24    24    27    38    60    89   101   101    82    48    31    24
    .6   2.3   4.7  10.4  15.6  20.7  23.1  22.4  18.3  12.7   5.7   1.7
    46CLEVELAND       OH        41.40       .00       .00
  4408  6822 10467 15315 19079 20919 20745 17961 14067  9839  5290  3608
    31    31    31    39    77   101   124   124   101    57    43    42
  -2.8  -2.3   2.3   9.1  14.6  19.9  21.9  21.1  17.7  12.1   5.3   -.9
    47COLORADO SPRINGSCO        38.82       .00       .00
 10108 13371 17591 21917 24158 26884 25102 22986 19964 15419 10716  8874
    17    18    21    27    43    60    77    77    50    32    24    18
  -1.9   -.4   1.8   7.9  13.1  18.1  21.5  20.6  16.1  10.3   3.1   -.6
    48COLUMBIA        MO        38.82       .00       .00
  6940  9928 13378 17317 21334 23714 24015 21312 16461 12493  7975  5930
    31    31    34    52    88   124   139   132   101    66    35    31
  -1.5    .9   5.4  12.8  18.0  22.8  25.2  24.4  20.2  14.4   6.6    .4
    49COLUMBIA        SC        33.95       .00       .00
  8645 11582 15378 19824 21505 22095 20902 19324 16334 13748 10455  8195
    39    49    66    88   121   147   167   154   147   101    57    39
   7.4   8.7  12.3  17.8  22.3  26.0  27.3  26.8  23.6  17.9  12.1   7.8
    50COLUMBUS        OH        40.00       .00       .00
  5212  7681 11117 15354 18691 20572 19916 18619 14545 10726  6103  4394
    27    31    30    52    82   110   124   124   101    66    39    31
  -2.0   -.9   4.0  10.7  16.2  21.3  23.1  22.2  18.4  12.3   5.4   -.7
    51CONCORD         NH        43.20       .00       .00
  5215  7786 11049 14948 17956 19345 19005 16516 12940  9273  5251  4110
    27    27    27    39    62    88   114   108    88    62    34    21
  -6.3  -5.2    .2   6.8  12.8  18.2  20.9  19.6  15.3   9.6   3.3  -4.0
    52CORPUS CHRISTI  TX        27.77       .00       .00
 10192 13022 16228 18640 21182 23762 24810 22593 19146 16073 11833  9587
    62    94   114   147   167   182   191   191   182   151   139    94
