0.9163	0.0000										!Capacity and Design Energy Input Fraction at 	0	7.222	      32.222	115.00
0.9388	0.0000										!Capacity and Design Energy Input Fraction at 	0	7.222	      32.222	116.11
1.0755	0.0000										!Capacity and Design Energy Input Fraction at 	0	7.778	      26.667	108.89
1.1265	0.0000										!Capacity and Design Energy Input Fraction at 	0	7.778	      26.667	111.67
1.1755	0.0000										!Capacity and Design Energy Input Fraction at 	0	7.778	      26.667	113.89
1.1980	0.0000										!Capacity and Design Energy Input Fraction at 	0	7.778	      26.667	115.00
1.2184	0.0000										!Capacity and Design Energy Input Fraction at 	0	7.778	      26.667	116.11
0.9469	0.0000										!Capacity and Design Energy Input Fraction at 	0	7.778	      29.444	108.89
0.9980	0.0000										!Capacity and Design Energy Input Fraction at 	0	7.778	      29.444	111.67
1.0449	0.0000										!Capacity and Design Energy Input Fraction at 	0	7.778	      29.444	113.89
1.0673	0.0000										!Capacity and Design Energy Input Fraction at 	0	7.778	      29.444	115.00
1.0898	0.0000										!Capacity and Design Energy Input Fraction at 	0	7.778	      29.444	116.11
0.8184	0.0000										!Capacity and Design Energy Input Fraction at 	0	7.778	      32.222	108.89
0.8694	0.0000										!Capacity and Design Energy Input Fraction at 	0	7.778	      32.222	111.67
0.9163	0.0000										!Capacity and Design Energy Input Fraction at 	0	7.778	      32.222	113.89
0.9388	0.0000										!Capacity and Design Energy Input Fraction at 	0	7.778	      32.222	115.00
0.9592	0.0000										!Capacity and Design Energy Input Fraction at 	0	7.778	      32.222	116.11
1.1204	0.0000										!Capacity and Design Energy Input Fraction at 	0	8.889	      26.667	108.89
1.1735	0.0000										!Capacity and Design Energy Input Fraction at 	0	8.889	      26.667	111.67
1.2204	0.0000										!Capacity and Design Energy Input Fraction at 	0	8.889	      26.667	113.89
1.2449	0.0000										!Capacity and Design Energy Input Fraction at 	0	8.889	      26.667	115.00
1.2673	0.0000										!Capacity and Design Energy Input Fraction at 	0	8.889	      26.667	116.11
0.9898	0.0000										!Capacity and Design Energy Input Fraction at 	0	8.889	      29.444	108.89
1.0408	0.0000										!Capacity and Design Energy Input Fraction at 	0	8.889	      29.444	111.67
1.0898	0.0000										!Capacity and Design Energy Input Fraction at 	0	8.889	      29.444	113.89
1.1122	0.0000										!Capacity and Design Energy Input Fraction at 	0	8.889	      29.444	115.00
1.1347	0.0000										!Capacity and Design Energy Input Fraction at 	0	8.889	      29.444	116.11
0.8592	0.0000										!Capacity and Design Energy Input Fraction at 	0	8.889	      32.222	108.89
0.9102	0.0000										!Capacity and Design Energy Input Fraction at 	0	8.889	      32.222	111.67
0.9592	0.0000										!Capacity and Design Energy Input Fraction at 	0	8.889	      32.222	113.89
0.9816	0.0000										!Capacity and Design Energy Input Fraction at 	0	8.889	      32.222	115.00
1.0041	0.0000										!Capacity and Design Energy Input Fraction at 	0	8.889	      32.222	116.11
1.1673	0.0000										!Capacity and Design Energy Input Fraction at 	0	10.000      26.667	108.89
1.2204	0.0000										!Capacity and Design Energy Input Fraction at 	0	10.000      26.667	111.67
1.2694	0.0000										!Capacity and Design Energy Input Fraction at 	0	10.000      26.667	113.89
1.2898	0.0000										!Capacity and Design Energy Input Fraction at 	0	10.000      26.667	115.00
1.2898	0.0000										!Capacity and Design Energy Input Fraction at 	0	10.000      26.667	116.11
1.0347	0.0000										!Capacity and Design Energy Input Fraction at 	0	10.000      29.444	108.89
1.0857	0.0000										!Capacity and Design Energy Input Fraction at 	0	10.000      29.444	111.67
