01 04 17 0 0 0 10 -4.7 87 0 10140 3 32
01 04 18 0 0 0 8.1 -6.7 90 0 10137 4 36
01 04 19 0 0 0 6.6 -8.3 90 0 10133 4 35
01 04 20 0 0 0 6.2 -8.8 90 0 10130 4 35
01 04 21 0 0 0 7.3 -7.9 88 0 10129 4 34
01 04 22 0 0 0 9 -5.9 85 0 10132 5 25
01 04 23 0 0 0 10.5 -4.4 81 0 10134 5 17
01 05 0 0 0 0 10.7 -4.4 73 0 10141 6 8
01 05 1 0 0 0 9.8 -6.1 62 0 10150 5 17
01 05 2 0 0 0 8.7 -8.1 51 0 10159 5 27
01 05 3 0 0 0 8.1 -9 47 0 10170 5 36
01 05 4 0 0 0 8.3 -8.8 48 0 10184 5 27
01 05 5 0 0 0 8.3 -8.7 50 0 10197 5 17
01 05 6 0 0 0 7.6 -8.3 52 1 10211 4 8
01 05 7 14 11 3 6.3 -7.7 55 2 10226 4 17
01 05 8 111 53 58 5.3 -6.9 59 4 10240 3 27
01 05 9 239 156 83 5.6 -6.1 56 4 10248 4 36
01 05 10 356 278 78 7.5 -4.7 49 3 10250 4 33
01 05 11 381 275 106 10.2 -2.6 42 3 10252 5 29
01 05 12 394 300 94 12.2 -0.2 39 4 10254 5 26
01 05 13 342 253 89 12.6 1.5 40 5 10256 6 25
01 05 14 247 172 75 11.5 1.7 40 6 10258 6 25
01 05 15 117 64 53 9.7 -0.7 41 5 10263 5 24
01 05 16 11 6 6 8.1 -4.5 43 3 10270 4 28
01 05 17 0 0 0 7.1 -7.8 44 2 10278 3 32
01 05 18 0 0 0 6.5 -9.7 47 1 10285 4 36
01 05 19 0 0 0 6 -10.6 51 0 10292 4 36
01 05 20 0 0 0 5.3 -11.5 55 0 10300 5 36
01 05 21 0 0 0 4.7 -12.3 57 0 10306 5 36
01 05 22 0 0 0 4.3 -12.7 58 0 10311 5 36
01 05 23 0 0 0 4.1 -12.9 58 0 10317 5 36
01 06 0 0 0 0 4 -13.1 58 0 10321 5 36
01 06 1 0 0 0 3.8 -13.4 58 0 10325 5 36
01 06 2 0 0 0 3.4 -13.8 59 0 10329 6 36
01 06 3 0 0 0 3.1 -14.1 59 0 10331 6 36
01 06 4 0 0 0 2.9 -14.2 59 0 10332 6 36
01 06 5 0 0 0 2.9 -14.3 60 0 10332 6 36
01 06 6 0 0 0 2.9 -14.2 60 0 10335 6 36
01 06 7 11 6 6 3.2 -13.9 58 0 10339 5 36
01 06 8 111 53 58 3.8 -13.4 57 0 10343 5 36
01 06 9 233 142 92 4.9 -12.3 54 0 10344 4 36
01 06 10 331 228 103 6.6 -10.6 49 0 10341 2 24
01 06 11 375 261 114 8.5 -8.8 44 0 10339 1 12
01 06 12 372 258 114 10 -6.9 41 0 10335 0 0
