 TIME                    	IColl                    	QuColl                   	QDHW                     	QAux                     	EtaColl_d                	FSol_d                   	
  +3.6240000000000000E+03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.0000000000000000E+00	
  +3.6480000000000000E+03	  +1.2406443492196468E+04	  +2.7485990055951894E+04	  +2.5138170730361253E+04	  +8.5235554503290550E+03	  +4.4309217339839929E-01	  +6.6093175428650230E-01	
  +3.6720000000000000E+03	  +2.7075919852788884E+04	  +6.6221051911020331E+04	  +2.5137835157715272E+04	  +4.7519223528894818E+03	  +4.8915089327028161E-01	  +8.1096533082953270E-01	
  +3.6960000000000000E+03	  +2.5083328039762931E+04	  +4.7148602807881631E+04	  +2.5139860501348398E+04	  +0.0000000000000000E+00	  +3.7593578278579426E-01	  +1.0000000000000000E+00	
  +3.7200000000000000E+03	  +2.1902026776951418E+04	  +3.2806705706604771E+04	  +2.5139801706707887E+04	  +0.0000000000000000E+00	  +2.9957689341179428E-01	  +1.0000000000000000E+00	
  +3.7440000000000000E+03	  +2.0701785026289555E+04	  +3.0487396515397089E+04	  +2.5140128156364914E+04	  +0.0000000000000000E+00	  +2.9453881852590086E-01	  +1.0000000000000000E+00	
  +3.7680000000000000E+03	  +2.0212245664391896E+04	  +3.1388867113046726E+04	  +2.5139777314507752E+04	  +0.0000000000000000E+00	  +3.1059257475812496E-01	  +1.0000000000000000E+00	
  +3.7920000000000000E+03	  +1.6577422178498451E+04	  +2.2558131495041289E+04	  +2.5139657579114046E+04	  +0.0000000000000000E+00	  +2.7215487730086158E-01	  +1.0000000000000000E+00	
