 TIME                    	IColl                    	QuColl                   	QDHW                     	QAux                     	EtaColl                  	FSol                     	
  +5.0880000000000000E+03	  +1.0000000000000000E+00	  +2.0000000000000000E+02	  +4.0000000000000000E+01	  +6.0000000000000005E-02	  +5.6069069958122963E-01	  +3.6176275921018830E-01	  +1.0960158172303757E+06	  +6.1452587531555316E+05	  +1.5333111217134525E+06	  +9.7861625959536328E+05	
  +5.0880000000000000E+03	  +2.0000000000000000E+00	  +2.0000000000000000E+02	  +8.0000000000000000E+01	  +1.2000000000000001E-01	  +5.0867143157229611E-01	  +6.3094616191905195E-01	  +1.0960158172303757E+06	  +1.1150238695534191E+06	  +1.5342826158174614E+06	  +5.6623288806867984E+05	
  +5.0880000000000000E+03	  +5.0000000000000000E+00	  +2.0000000000000000E+02	  +2.0000000000000000E+02	  +3.0000000000000004E-01	  +3.5561408663950428E-01	  +9.3530279862133825E-01	  +1.0960158172303757E+06	  +1.9487933189345053E+06	  +1.5334132509235025E+06	  +9.9207545891771006E+04	
  +5.0880000000000000E+03	  +7.0000000000000000E+00	  +2.0000000000000000E+02	  +2.8000000000000000E+02	  +4.2000000000000004E-01	  +2.9451600218102142E-01	  +9.8417016888256592E-01	  +1.0960158172303757E+06	  +2.2595593777252818E+06	  +1.5335920169675320E+06	  +2.4276502631656873E+04	
  +5.0880000000000000E+03	  +1.0000000000000000E+01	  +2.0000000000000000E+02	  +4.0000000000000000E+02	  +6.0000000000000009E-01	  +2.3789086082358876E-01	  +9.9110954510331484E-01	  +1.0960158172303757E+06	  +2.6073214623722699E+06	  +1.5335729666324640E+06	  +1.3634161290630434E+04	
  +5.0880000000000000E+03	  +1.0000000000000000E+00	  +3.0000000000000000E+02	  +4.0000000000000000E+01	  +6.0000000000000005E-02	  +5.8404837430209344E-01	  +2.5801384078707945E-01	  +1.0960158172303757E+06	  +6.4012625626336539E+05	  +2.3002635042242957E+06	  +1.7067636826777807E+06	
  +5.0880000000000000E+03	  +2.0000000000000000E+00	  +3.0000000000000000E+02	  +8.0000000000000000E+01	  +1.2000000000000001E-01	  +5.4187796365764118E-01	  +4.6951422462261827E-01	  +1.0960158172303757E+06	  +1.1878136383552647E+06	  +2.3006107000735067E+06	  +1.2204412510705255E+06	
  +5.0880000000000000E+03	  +5.0000000000000000E+00	  +3.0000000000000000E+02	  +2.0000000000000000E+02	  +3.0000000000000004E-01	  +4.2710234397262964E-01	  +8.4421016570238439E-01	  +1.0960158172303757E+06	  +2.3405546228512805E+06	  +2.3006349033259386E+06	  +3.5841553036861459E+05	
  +5.0880000000000000E+03	  +7.0000000000000000E+00	  +3.0000000000000000E+02	  +2.8000000000000000E+02	  +4.2000000000000004E-01	  +3.6124670051882368E-01	  +9.3305752075163395E-01	  +1.0960158172303757E+06	  +2.7715246838367688E+06	  +2.3004190291152936E+06	  +1.5399575311916391E+05	
  +5.0880000000000000E+03	  +1.0000000000000000E+01	  +3.0000000000000000E+02	  +4.0000000000000000E+02	  +6.0000000000000009E-01	  +2.9317479146464781E-01	  +9.8399811618237121E-01	  +1.0960158172303757E+06	  +3.2132420865850025E+06	  +2.3002130805965010E+06	  +3.6807742471511257E+04	
  +5.0880000000000000E+03	  +5.0000000000000000E+00	  +2.0000000000000000E+02	  +2.0000000000000000E+02	  +3.0000000000000004E-01	  +3.5561131980756094E-01	  +9.3530279704115937E-01	  +1.0960243400966472E+06	  +1.9487933106152543E+06	  +1.5334132509156514E+06	  +9.9207548314330299E+04	
  +5.0880000000000000E+03	  +5.0000000000000000E+00	  +2.0000000000000000E+02	  +2.0000000000000000E+02	  +3.0000000000000004E-01	  +3.3713911111104411E-01	  +9.4802478253435540E-01	  +1.1796341858515181E+06	  +1.9885041042712424E+06	  +1.5335142870360836E+06	  +7.9704738555425400E+04	
  +5.0880000000000000E+03	  +5.0000000000000000E+00	  +2.0000000000000000E+02	  +2.0000000000000000E+02	  +3.0000000000000004E-01	  +3.3713911111104411E-01	  +9.4802478253435540E-01	  +1.1796341858515181E+06	  +1.9885041042712424E+06	  +1.5335142870360836E+06	  +7.9704738555425400E+04	
  +5.0880000000000000E+03	  +5.0000000000000000E+00	  +2.0000000000000000E+02	  +2.0000000000000000E+02	  +3.0000000000000004E-01	  +3.5430195039741696E-01	  +9.3361241137390716E-01	  +1.0926091628930892E+06	  +1.9355677871759073E+06	  +1.5335182441144474E+06	  +1.0180657834094451E+05	
